CollectionID,LoanID,CollectionDate,CollectionMethod,CollectionResult
COL000096,LOAN007458,2024-10-21,Phone,Failure
COL000097,LOAN002896,2020-06-01,In-person,Success
COL000098,LOAN000551,2025-03-02,In-person,Success
COL000099,LOAN002776,2023-09-06,SMS,Success
COL000100,LOAN008515,2025-12-24,In-person,Success
COL000101,LOAN009871,2020-11-05,Phone,Success
COL000102,LOAN006597,2023-04-03,SMS,Failure
COL000103,LOAN008134,2022-02-17,In-person,Failure
COL000104,LOAN001355,2021-03-27,Phone,Success
COL000105,LOAN004411,2023-12-08,Phone,Failure
COL000106,LOAN002200,2020-07-13,SMS,Failure
COL000107,LOAN006659,2020-08-18,SMS,Success
COL000108,LOAN009520,2023-06-13,SMS,Success
COL000109,LOAN009507,2022-03-14,In-person,Failure
COL000110,LOAN001229,2025-05-28,Phone,Success
COL000111,LOAN004827,2020-01-21,SMS,Success
COL000112,LOAN005322,2020-09-03,Phone,Success
COL000113,LOAN007145,2022-06-25,Phone,Failure
COL000114,LOAN005363,2021-06-15,SMS,Success
COL000115,LOAN005662,2025-05-04,In-person,Failure
COL000116,LOAN008514,2023-10-23,Phone,Success
COL000117,LOAN006993,2020-02-04,In-person,Success
COL000118,LOAN004088,2020-08-17,In-person,Success
COL000119,LOAN006181,2019-11-08,Phone,Failure
COL000120,LOAN006114,2020-10-16,Phone,Success
COL000121,LOAN006151,2025-03-22,Phone,Failure
COL000122,LOAN001606,2020-08-13,Phone,Success
COL000123,LOAN002930,2022-12-30,Phone,Success
COL000124,LOAN006588,2024-11-27,In-person,Failure
COL000125,LOAN004335,2021-09-24,Phone,Success
COL000126,LOAN008385,2020-06-22,Phone,Success
COL000127,LOAN003437,2022-09-23,In-person,Failure
COL000128,LOAN008590,2024-12-03,SMS,Failure
COL000129,LOAN001604,2022-04-23,Phone,Failure
COL000130,LOAN002826,2023-02-23,SMS,Failure
COL000131,LOAN004317,2022-11-06,Phone,Success
COL000132,LOAN009971,2023-11-25,Phone,Success
COL000133,LOAN000024,2023-02-19,Phone,Failure
COL000134,LOAN008453,2025-07-08,Phone,Failure
COL000135,LOAN005161,2022-03-31,SMS,Success
COL000136,LOAN006569,2022-08-17,Phone,Success
COL000137,LOAN005879,2022-04-06,Phone,Failure
COL000138,LOAN006261,2022-04-18,SMS,Success
COL000139,LOAN003035,2024-05-01,Phone,Success
COL000140,LOAN006170,2025-05-14,Phone,Success
COL000141,LOAN005990,2023-11-18,Phone,Failure
COL000142,LOAN005432,2020-09-20,Phone,Failure
COL000143,LOAN008142,2023-05-29,Phone,Success
COL000144,LOAN007426,2020-01-06,Phone,Failure
COL000145,LOAN009038,2020-05-15,In-person,Success
COL000146,LOAN002226,2020-01-24,Phone,Success
COL000147,LOAN003062,2026-05-04,Phone,Failure
COL000148,LOAN005294,2021-12-16,Phone,Success
COL000149,LOAN006399,2024-08-21,Phone,Failure
COL000150,LOAN004568,2022-10-15,SMS,Success
COL000151,LOAN004300,2019-07-07,Phone,Success
COL000152,LOAN000904,2023-12-18,In-person,Failure
COL000153,LOAN007906,2025-07-02,SMS,Failure
COL000154,LOAN006089,2020-09-28,Phone,Success
COL000155,LOAN005251,2020-08-31,Phone,Success
COL000156,LOAN007785,2023-01-19,In-person,Success
COL000157,LOAN008871,2020-12-02,In-person,Success
COL000158,LOAN002764,2022-06-10,Phone,Success
COL000159,LOAN008662,2025-04-04,SMS,Success
COL000160,LOAN000523,2019-12-17,Phone,Success
COL000161,LOAN003356,2025-03-06,In-person,Success
COL000162,LOAN008127,2025-12-21,Phone,Success
COL000163,LOAN005541,2020-05-30,Phone,Failure
COL000164,LOAN002595,2023-06-25,Phone,Success
COL000165,LOAN001481,2024-10-14,SMS,Success
COL000166,LOAN004164,2021-02-22,SMS,Success
COL000167,LOAN002353,2021-10-06,Phone,Success
COL000168,LOAN000323,2021-05-19,SMS,Success
COL000169,LOAN005887,2020-10-23,In-person,Success
COL000170,LOAN009226,2024-12-21,Phone,Failure
COL000171,LOAN008404,2022-06-01,SMS,Failure
COL000172,LOAN007425,2022-07-25,Phone,Success
COL000173,LOAN005677,2021-09-01,Phone,Success
COL000174,LOAN009174,2025-07-18,Phone,Success
COL000175,LOAN000337,2025-11-03,Phone,Failure
COL000176,LOAN002987,2022-01-18,Phone,Success
COL000177,LOAN005495,2025-11-05,Phone,Success
COL000178,LOAN000811,2024-11-04,Phone,Success
COL000179,LOAN002711,2024-07-21,Phone,Success
COL000180,LOAN004432,2024-03-01,Phone,Success
COL000181,LOAN003832,2024-05-18,SMS,Failure
COL000182,LOAN002602,2020-04-05,Phone,Failure
COL000183,LOAN004786,2020-07-18,Phone,Failure
COL000184,LOAN005137,2023-07-29,Phone,Success
COL000185,LOAN001088,2019-12-13,In-person,Success
COL000186,LOAN009814,2021-09-09,In-person,Failure
COL000187,LOAN005832,2020-12-31,Phone,Success
COL000188,LOAN000833,2022-01-09,Phone,Success
COL000189,LOAN008263,2022-02-26,Phone,Success
COL000190,LOAN009402,2020-02-15,Phone,Success
COL000191,LOAN004929,2020-10-02,SMS,Success
COL000192,LOAN008305,2023-03-20,In-person,Success
COL000193,LOAN009225,2025-05-26,Phone,Success
COL000194,LOAN001142,2021-09-21,Phone,Success
COL000195,LOAN008777,2023-02-19,Phone,Failure
COL000196,LOAN006612,2019-06-18,SMS,Success
COL000197,LOAN008213,2024-12-06,SMS,Failure
COL000198,LOAN000533,2024-09-15,SMS,Success
COL000199,LOAN009002,2022-05-22,In-person,Failure
COL000200,LOAN002295,2021-02-13,SMS,Success
COL000201,LOAN005200,2024-10-09,SMS,Failure
COL000202,LOAN000132,2022-04-07,Phone,Success
COL000203,LOAN002794,2023-12-25,In-person,Failure
COL000204,LOAN005735,2024-09-20,In-person,Failure
COL000205,LOAN004238,2023-02-19,SMS,Failure
COL000206,LOAN008822,2023-03-08,Phone,Success
COL000207,LOAN005721,2023-12-13,In-person,Success
COL000208,LOAN000829,2024-01-22,Phone,Failure
COL000209,LOAN006757,2025-12-14,In-person,Success
COL000210,LOAN008309,2025-12-09,Phone,Success
COL000211,LOAN008530,2022-06-10,SMS,Failure
COL000212,LOAN009068,2022-12-04,Phone,Success
COL000213,LOAN008777,2024-01-15,SMS,Success
COL000214,LOAN007132,2020-02-01,Phone,Failure
COL000215,LOAN003664,2022-11-30,In-person,Failure
COL000216,LOAN002321,2025-10-05,Phone,Failure
COL000217,LOAN006430,2021-12-04,Phone,Success
COL000218,LOAN003289,2023-08-26,Phone,Success
COL000219,LOAN002962,2025-09-08,Phone,Success
COL000220,LOAN000245,2022-12-09,SMS,Failure
COL000221,LOAN008534,2022-12-20,SMS,Success
COL000222,LOAN004575,2021-05-20,Phone,Success
COL000223,LOAN007075,2026-10-22,SMS,Success
COL000224,LOAN003244,2020-12-18,In-person,Success
COL000225,LOAN001910,2022-12-25,Phone,Failure
COL000226,LOAN007134,2025-04-19,In-person,Failure
COL000227,LOAN007366,2025-02-11,Phone,Failure
COL000228,LOAN009955,2020-12-30,Phone,Success
COL000229,LOAN006673,2022-03-16,In-person,Failure
COL000230,LOAN001329,2021-08-18,In-person,Failure
COL000231,LOAN000525,2019-03-22,Phone,Failure
COL000232,LOAN007003,2024-09-04,Phone,Failure
COL000233,LOAN006275,2022-05-23,In-person,Failure
COL000234,LOAN002697,2020-07-06,In-person,Failure
COL000235,LOAN007761,2025-10-26,Phone,Success
COL000236,LOAN002135,2023-07-31,Phone,Failure
COL000237,LOAN000881,2024-01-29,Phone,Success
COL000238,LOAN003048,2025-03-15,Phone,Failure
COL000239,LOAN003601,2025-04-10,Phone,Failure
COL000240,LOAN003253,2025-04-03,Phone,Success
COL000241,LOAN003725,2020-12-16,SMS,Failure
COL000242,LOAN006294,2020-02-25,Phone,Failure
COL000243,LOAN003571,2025-02-07,SMS,Success
COL000244,LOAN000595,2024-07-21,SMS,Success
COL000245,LOAN006199,2020-11-16,Phone,Success
COL000246,LOAN001075,2020-06-11,SMS,Failure
COL000247,LOAN004154,2022-04-29,Phone,Success
COL000248,LOAN009154,2020-11-30,Phone,Success
COL000249,LOAN002740,2020-08-26,SMS,Failure
COL000250,LOAN000353,2020-10-23,Phone,Success
COL000251,LOAN007746,2023-02-12,Phone,Success
COL000252,LOAN008333,2023-04-23,Phone,Failure
COL000253,LOAN009115,2021-02-07,SMS,Success
COL000254,LOAN006179,2024-06-04,Phone,Failure
COL000255,LOAN001001,2026-04-10,In-person,Success
COL000256,LOAN005654,2025-08-28,Phone,Failure
COL000257,LOAN007862,2024-08-22,In-person,Success
COL000258,LOAN005112,2021-11-30,Phone,Success
COL000259,LOAN008256,2019-12-27,Phone,Failure
COL000260,LOAN002773,2019-09-26,Phone,Failure
COL000261,LOAN006727,2026-11-07,Phone,Success
COL000262,LOAN006701,2024-02-13,SMS,Success
COL000263,LOAN005091,2023-10-10,In-person,Success
COL000264,LOAN005314,2020-04-11,Phone,Success
COL000265,LOAN005644,2023-08-25,SMS,Success
COL000266,LOAN002681,2021-07-16,In-person,Failure
COL000267,LOAN004397,2023-03-08,In-person,Success
COL000268,LOAN008377,2023-01-09,Phone,Failure
COL000269,LOAN006189,2025-08-14,SMS,Success
COL000270,LOAN008577,2020-12-31,Phone,Failure
COL000271,LOAN001693,2024-12-27,SMS,Failure
COL000272,LOAN005118,2024-09-07,Phone,Failure
COL000273,LOAN003337,2025-04-23,SMS,Success
COL000274,LOAN002801,2024-10-15,Phone,Success
COL000275,LOAN005397,2021-07-31,Phone,Success
COL000276,LOAN008702,2022-05-12,SMS,Success
COL000277,LOAN001155,2023-03-28,Phone,Failure
COL000278,LOAN006283,2023-07-15,SMS,Failure
COL000279,LOAN002266,2021-11-15,Phone,Success
COL000280,LOAN000912,2021-05-25,Phone,Success
COL000281,LOAN005752,2024-04-09,SMS,Success
COL000282,LOAN005341,2020-11-04,Phone,Failure
COL000283,LOAN001944,2024-09-22,Phone,Success
COL000284,LOAN004310,2024-09-13,SMS,Success
COL000285,LOAN005853,2020-07-07,SMS,Failure
COL000286,LOAN004236,2024-04-20,Phone,Success
COL000287,LOAN007321,2025-12-19,In-person,Failure
COL000288,LOAN009340,2024-04-19,Phone,Failure
COL000289,LOAN000537,2021-01-30,Phone,Failure
COL000290,LOAN005899,2022-01-15,SMS,Failure
COL000291,LOAN002283,2020-08-11,Phone,Success
COL000292,LOAN000838,2019-06-29,In-person,Success
COL000293,LOAN002909,2022-10-15,Phone,Failure
COL000294,LOAN008005,2025-12-01,Phone,Failure
COL000295,LOAN004994,2025-06-14,SMS,Success
COL000296,LOAN007214,2025-11-22,SMS,Success
COL000297,LOAN007698,2020-03-12,In-person,Failure
COL000298,LOAN008622,2025-01-07,Phone,Failure
COL000299,LOAN000609,2026-06-02,Phone,Failure
COL000300,LOAN008609,2020-02-19,SMS,Success
COL000301,LOAN009935,2024-12-03,In-person,Failure
COL000302,LOAN007845,2021-06-10,Phone,Failure
COL000303,LOAN006881,2021-06-08,Phone,Success
COL000304,LOAN003292,2022-06-14,In-person,Failure
COL000305,LOAN005933,2025-01-22,In-person,Failure
COL000306,LOAN004843,2020-05-28,Phone,Success
COL000307,LOAN006727,2024-09-18,Phone,Failure
COL000308,LOAN006502,2020-08-23,Phone,Failure
COL000309,LOAN004060,2021-06-04,Phone,Success
COL000310,LOAN003729,2027-07-24,SMS,Failure
COL000311,LOAN005928,2021-12-22,Phone,Failure
COL000312,LOAN001227,2019-12-19,In-person,Failure
COL000313,LOAN008413,2024-12-04,Phone,Failure
COL000314,LOAN002218,2020-08-06,SMS,Success
COL000315,LOAN005718,2023-03-27,SMS,Success
COL000316,LOAN005115,2021-09-29,Phone,Success
COL000317,LOAN002552,2024-06-04,In-person,Failure
COL000318,LOAN004542,2021-02-13,In-person,Success
COL000319,LOAN003324,2023-03-16,SMS,Success
COL000320,LOAN007855,2021-04-10,SMS,Failure
COL000321,LOAN007322,2023-03-28,Phone,Failure
COL000322,LOAN003920,2020-11-24,In-person,Success
COL000323,LOAN003998,2027-04-07,Phone,Failure
COL000324,LOAN005791,2024-05-23,Phone,Failure
COL000325,LOAN005638,2023-05-02,Phone,Success
COL000326,LOAN005857,2024-08-22,Phone,Failure
COL000327,LOAN002599,2024-09-26,Phone,Failure
COL000328,LOAN007275,2023-11-10,Phone,Success
COL000329,LOAN003970,2021-04-24,In-person,Failure
COL000330,LOAN005135,2021-02-24,Phone,Success
COL000331,LOAN006659,2020-04-20,Phone,Success
COL000332,LOAN004858,2019-12-01,Phone,Success
COL000333,LOAN003357,2022-01-18,SMS,Success
COL000334,LOAN002869,2019-09-06,Phone,Success
COL000335,LOAN003937,2023-11-06,SMS,Failure
COL000336,LOAN004168,2022-07-29,Phone,Failure
COL000337,LOAN003619,2021-02-01,Phone,Failure
COL000338,LOAN002546,2019-11-25,Phone,Failure
COL000339,LOAN001913,2022-01-17,Phone,Failure
COL000340,LOAN007072,2019-11-08,Phone,Success
COL000341,LOAN009042,2024-12-26,Phone,Failure
COL000342,LOAN006796,2023-11-30,Phone,Failure
COL000343,LOAN005764,2020-03-13,Phone,Success
COL000344,LOAN009766,2026-03-16,SMS,Success
COL000345,LOAN007256,2021-11-11,Phone,Failure
COL000346,LOAN002080,2021-12-03,Phone,Success
COL000347,LOAN003016,2026-01-25,Phone,Success
COL000348,LOAN008775,2025-10-11,SMS,Failure
COL000349,LOAN006763,2025-08-24,SMS,Success
COL000350,LOAN006042,2022-05-06,SMS,Failure
COL000351,LOAN007744,2023-09-04,In-person,Success
COL000352,LOAN007527,2023-04-03,SMS,Success
COL000353,LOAN006269,2024-10-28,SMS,Success
COL000354,LOAN003605,2022-01-30,In-person,Success
COL000355,LOAN004442,2024-01-05,In-person,Failure
COL000356,LOAN005500,2021-06-13,Phone,Failure
COL000357,LOAN009900,2022-02-04,Phone,Failure
COL000358,LOAN006249,2019-06-07,In-person,Failure
COL000359,LOAN000604,2020-03-02,Phone,Failure
COL000360,LOAN007942,2021-10-25,SMS,Failure
COL000361,LOAN009924,2019-07-07,Phone,Success
COL000362,LOAN005612,2023-11-15,SMS,Success
COL000363,LOAN004792,2024-11-30,In-person,Success
COL000364,LOAN007616,2022-08-25,SMS,Failure
COL000365,LOAN008796,2020-05-07,Phone,Failure
COL000366,LOAN002300,2022-04-11,Phone,Success
COL000367,LOAN003542,2022-02-13,In-person,Success
COL000368,LOAN004650,2025-05-14,SMS,Success
COL000369,LOAN001307,2023-07-22,In-person,Failure
COL000370,LOAN002553,2023-01-31,Phone,Success
COL000371,LOAN006632,2020-11-21,Phone,Failure
COL000372,LOAN009741,2021-10-23,Phone,Failure
COL000373,LOAN005999,2021-06-24,SMS,Failure
COL000374,LOAN006613,2023-10-12,Phone,Failure
COL000375,LOAN000475,2022-12-15,Phone,Success
COL000376,LOAN000113,2020-12-08,SMS,Success
COL000377,LOAN006281,2022-12-17,Phone,Failure
COL000378,LOAN002671,2027-06-21,Phone,Failure
COL000379,LOAN001537,2023-06-16,Phone,Success
COL000380,LOAN007448,2022-03-31,SMS,Success
COL000381,LOAN005170,2023-02-06,Phone,Success
COL000382,LOAN004641,2022-04-18,Phone,Success
COL000383,LOAN006276,2023-05-01,SMS,Failure
COL000384,LOAN003058,2020-07-04,Phone,Success
COL000385,LOAN000447,2023-08-20,Phone,Success
COL000386,LOAN006200,2020-12-25,In-person,Success
COL000387,LOAN000416,2021-01-29,SMS,Failure
COL000388,LOAN003938,2021-10-15,In-person,Success
COL000389,LOAN005012,2023-08-26,Phone,Failure
COL000390,LOAN004380,2020-11-17,Phone,Failure
COL000391,LOAN007458,2024-11-20,SMS,Success
COL000392,LOAN001690,2020-10-30,In-person,Success
COL000393,LOAN003845,2021-07-16,SMS,Failure
COL000394,LOAN009963,2024-11-01,SMS,Failure
COL000395,LOAN001299,2024-07-21,Phone,Success
COL000396,LOAN004343,2021-02-03,In-person,Failure
COL000397,LOAN009399,2019-08-14,Phone,Success
COL000398,LOAN006855,2028-01-19,SMS,Failure
COL000399,LOAN003410,2024-06-20,SMS,Failure
COL000400,LOAN009963,2024-09-02,Phone,Success
COL000401,LOAN000584,2020-06-07,SMS,Success
COL000402,LOAN003609,2020-10-20,In-person,Success
COL000403,LOAN000925,2024-10-23,SMS,Failure
COL000404,LOAN006050,2020-10-19,Phone,Success
COL000405,LOAN006106,2020-02-27,In-person,Success
COL000406,LOAN004436,2025-02-19,Phone,Failure
COL000407,LOAN008425,2022-06-02,Phone,Success
COL000408,LOAN005560,2023-12-07,Phone,Failure
COL000409,LOAN007214,2026-06-20,In-person,Success
COL000410,LOAN000993,2023-08-23,SMS,Success
COL000411,LOAN001734,2024-05-27,Phone,Failure
COL000412,LOAN001905,2021-12-19,Phone,Success
COL000413,LOAN008148,2025-05-14,Phone,Failure
COL000414,LOAN000428,2024-01-27,SMS,Success
COL000415,LOAN009834,2024-05-18,SMS,Failure
COL000416,LOAN004278,2024-08-17,SMS,Success
COL000417,LOAN002644,2024-05-29,Phone,Failure
COL000418,LOAN005000,2022-11-28,In-person,Failure
COL000419,LOAN002995,2020-12-26,Phone,Success
COL000420,LOAN000314,2020-11-07,SMS,Success
COL000421,LOAN008542,2020-09-10,SMS,Failure
COL000422,LOAN005275,2025-03-14,Phone,Failure
COL000423,LOAN007956,2021-12-29,Phone,Success
COL000424,LOAN008100,2022-10-13,Phone,Failure
COL000425,LOAN004232,2021-09-05,SMS,Failure
COL000426,LOAN008430,2023-04-23,Phone,Success
COL000427,LOAN007740,2023-07-16,Phone,Failure
COL000428,LOAN001604,2022-06-22,SMS,Failure
COL000429,LOAN001305,2024-04-14,In-person,Success
COL000430,LOAN002802,2023-06-25,SMS,Success
COL000431,LOAN002706,2025-01-26,In-person,Success
COL000432,LOAN004860,2023-10-30,SMS,Failure
COL000433,LOAN004398,2023-04-02,Phone,Failure
COL000434,LOAN000334,2019-08-17,SMS,Success
COL000435,LOAN008048,2021-04-21,In-person,Success
COL000436,LOAN006839,2023-03-20,SMS,Failure
COL000437,LOAN002851,2023-02-24,Phone,Success
COL000438,LOAN007679,2024-02-21,In-person,Success
COL000439,LOAN002800,2025-06-18,SMS,Success
COL000440,LOAN007996,2019-11-24,SMS,Success
COL000441,LOAN000679,2022-09-23,In-person,Success
COL000442,LOAN002453,2021-10-21,Phone,Success
COL000443,LOAN007380,2025-06-20,Phone,Failure
COL000444,LOAN004420,2021-09-11,In-person,Success
COL000445,LOAN000185,2025-02-07,Phone,Success
COL000446,LOAN005048,2022-07-08,Phone,Success
COL000447,LOAN004493,2025-02-28,SMS,Failure
COL000448,LOAN001979,2023-03-10,Phone,Failure
COL000449,LOAN006302,2019-09-17,In-person,Success
COL000450,LOAN004595,2023-05-02,SMS,Success
COL000451,LOAN002660,2024-05-11,Phone,Success
COL000452,LOAN001070,2022-10-08,In-person,Success
COL000453,LOAN006044,2020-11-24,Phone,Failure
COL000454,LOAN003445,2020-10-02,Phone,Success
COL000455,LOAN005509,2024-03-23,Phone,Success
COL000456,LOAN008587,2021-11-08,Phone,Failure
COL000457,LOAN006923,2023-09-30,SMS,Success
COL000458,LOAN008475,2024-11-28,Phone,Success
COL000459,LOAN000547,2021-09-19,SMS,Success
COL000460,LOAN006681,2023-02-07,SMS,Failure
COL000461,LOAN001544,2019-09-13,SMS,Success
COL000462,LOAN001061,2021-12-07,SMS,Success
COL000463,LOAN004027,2026-02-26,Phone,Failure
COL000464,LOAN003579,2020-02-27,Phone,Success
COL000465,LOAN009760,2022-03-16,Phone,Success
COL000466,LOAN001239,2021-04-25,Phone,Success
COL000467,LOAN008866,2023-09-15,Phone,Failure
COL000468,LOAN009324,2020-11-02,In-person,Success
COL000469,LOAN003256,2023-09-07,In-person,Success
COL000470,LOAN005185,2024-10-04,Phone,Failure
COL000471,LOAN004828,2023-06-05,In-person,Success
COL000472,LOAN009198,2022-07-11,Phone,Success
COL000473,LOAN007137,2025-12-25,In-person,Success
COL000474,LOAN001381,2024-07-02,In-person,Failure
COL000475,LOAN006495,2021-06-18,Phone,Success
COL000476,LOAN007855,2021-05-10,SMS,Failure
COL000477,LOAN005532,2024-01-06,Phone,Success
COL000478,LOAN006309,2019-07-30,Phone,Failure
COL000479,LOAN007232,2019-05-04,SMS,Success
COL000480,LOAN002291,2021-11-13,In-person,Failure
COL000481,LOAN003003,2021-09-14,Phone,Success
COL000482,LOAN001163,2019-06-18,SMS,Success
COL000483,LOAN001924,2021-05-25,SMS,Success
COL000484,LOAN002561,2022-06-22,Phone,Failure
COL000485,LOAN006445,2019-07-09,SMS,Failure
COL000486,LOAN009361,2023-04-25,In-person,Failure
COL000487,LOAN003335,2024-10-12,Phone,Failure
COL000488,LOAN005282,2023-04-01,Phone,Failure
COL000489,LOAN006433,2021-09-22,In-person,Success
COL000490,LOAN001170,2021-10-28,Phone,Failure
COL000491,LOAN001095,2023-07-20,Phone,Failure
COL000492,LOAN007769,2025-09-21,SMS,Success
COL000493,LOAN003759,2024-08-08,In-person,Success
COL000494,LOAN003548,2023-01-06,In-person,Success
COL000495,LOAN005257,2021-03-19,SMS,Success
COL000496,LOAN003147,2024-08-29,In-person,Success
COL000497,LOAN007145,2022-08-24,SMS,Failure
COL000498,LOAN008821,2019-07-10,In-person,Success
COL000499,LOAN008359,2024-01-21,SMS,Success
COL000500,LOAN009860,2021-12-30,In-person,Failure
COL000501,LOAN008782,2024-06-15,SMS,Failure
COL000502,LOAN008772,2025-02-18,Phone,Failure
COL000503,LOAN009627,2019-10-20,Phone,Failure
COL000504,LOAN002375,2020-03-21,Phone,Success
COL000505,LOAN007538,2023-03-31,In-person,Success
COL000506,LOAN000676,2019-08-05,SMS,Success
COL000507,LOAN007220,2020-03-01,SMS,Failure
COL000508,LOAN009015,2022-08-24,In-person,Failure
COL000509,LOAN004346,2023-03-28,In-person,Success
COL000510,LOAN000388,2022-02-08,Phone,Success
COL000511,LOAN005561,2023-07-08,Phone,Success
COL000512,LOAN003761,2020-06-07,SMS,Success
COL000513,LOAN000481,2025-07-01,In-person,Success
COL000514,LOAN004239,2025-02-22,Phone,Success
COL000515,LOAN000725,2025-11-28,In-person,Success
COL000516,LOAN004561,2023-05-31,In-person,Success
COL000517,LOAN001832,2024-08-17,Phone,Failure
COL000518,LOAN005158,2020-03-15,Phone,Failure
COL000519,LOAN007544,2022-03-14,In-person,Success
COL000520,LOAN003701,2019-07-06,In-person,Success
COL000521,LOAN006163,2024-02-14,SMS,Failure
COL000522,LOAN009920,2021-12-12,In-person,Success
COL000523,LOAN000098,2022-07-01,Phone,Success
COL000524,LOAN006404,2023-05-08,SMS,Success
COL000525,LOAN005921,2024-09-13,In-person,Success
COL000526,LOAN000322,2024-02-29,In-person,Failure
COL000527,LOAN000690,2020-04-11,In-person,Failure
