LoanID,CustomerID,LoanType,LoanAmount,LoanTermMonths,InterestRate,DisbursementDate,ApprovalTimeDays
LOAN000031,CUST04440,Green Energy Loan,305450,25,0.07,2024-08-01,10
LOAN000032,CUST04212,Avocado Loan,716787,42,0.11,2022-08-03,10
LOAN000033,CUST03031,Boda Boda Loan,914791,57,0.12,2024-11-13,12
LOAN000034,CUST03998,Green Energy Loan,82960,35,0.07,2020-02-18,2
LOAN000035,CUST00104,Normal Loan,895432,19,0.1,2022-10-26,8
LOAN000036,CUST02296,Jipange Loan,333919,24,0.08,2020-09-30,7
LOAN000037,CUST00987,Avocado Loan,850806,12,0.11,2019-12-19,7
LOAN000038,CUST00364,Special Advance,25317,7,0.06,2019-05-20,1
LOAN000039,CUST02732,Green Energy Loan,257819,34,0.07,2019-11-13,8
LOAN000040,CUST01865,Salary Advance,30402,6,0.05,2024-07-02,1
LOAN000041,CUST01410,Jipange Loan,375201,34,0.08,2020-06-24,10
LOAN000042,CUST04984,Special Advance,95483,6,0.06,2022-09-05,2
LOAN000043,CUST01173,Green Energy Loan,495705,24,0.07,2021-09-27,9
LOAN000044,CUST01227,Avocado Loan,741051,13,0.11,2024-11-11,14
LOAN000045,CUST03446,Seasonal Advance,253301,6,0.08,2019-01-25,11
LOAN000046,CUST03097,Boda Boda Loan,72319,15,0.12,2024-07-06,3
LOAN000047,CUST00965,Avocado Loan,461527,60,0.11,2022-05-21,14
LOAN000048,CUST01814,Special Advance,32642,6,0.06,2020-11-30,2
LOAN000049,CUST03525,Maziwa Loan,125219,13,0.09,2023-04-01,13
LOAN000050,CUST02059,Emergency Loan,44450,3,0.09,2020-09-04,1
LOAN000051,CUST04012,Jipange Loan,132033,34,0.08,2020-07-10,10
LOAN000052,CUST01285,Salary Advance,14445,8,0.05,2024-10-14,1
LOAN000053,CUST02273,Avocado Loan,968646,53,0.11,2024-08-17,8
LOAN000054,CUST02808,Avocado Loan,379410,46,0.11,2019-01-27,7
LOAN000055,CUST00408,Emergency Loan,30769,3,0.09,2023-11-05,3
LOAN000056,CUST00014,Seasonal Advance,454283,16,0.08,2021-02-15,13
LOAN000057,CUST00536,Jipange Loan,475645,30,0.08,2024-04-09,11
LOAN000058,CUST04461,Normal Loan,584413,42,0.1,2020-03-13,7
LOAN000059,CUST00254,Salary Advance,19226,7,0.05,2020-08-29,2
LOAN000060,CUST02892,Special Advance,10641,9,0.06,2023-12-14,3
LOAN000061,CUST01798,Maziwa Loan,142341,19,0.09,2020-10-04,14
LOAN000062,CUST04585,Jipange Loan,225502,16,0.08,2023-09-19,11
LOAN000063,CUST03861,Avocado Loan,544074,60,0.11,2023-01-02,9
LOAN000064,CUST03184,Jipange Loan,468330,33,0.08,2020-05-25,8
LOAN000065,CUST04297,Jipange Loan,317068,13,0.08,2021-12-31,14
LOAN000066,CUST00105,Green Energy Loan,354312,34,0.07,2022-05-22,9
LOAN000067,CUST00228,Emergency Loan,27864,4,0.09,2024-07-03,2
LOAN000068,CUST02030,Green Energy Loan,354577,35,0.07,2020-10-23,10
LOAN000069,CUST00453,Special Advance,33874,4,0.06,2019-04-14,3
LOAN000070,CUST02928,Seasonal Advance,43670,13,0.08,2024-10-05,2
LOAN000071,CUST01706,Jipange Loan,166840,7,0.08,2021-12-17,7
LOAN000072,CUST01211,Normal Loan,80836,52,0.1,2021-03-29,1
LOAN000073,CUST01955,Maziwa Loan,27188,20,0.09,2024-01-22,2
LOAN000074,CUST04649,Boda Boda Loan,346801,58,0.12,2023-09-03,10
LOAN000075,CUST03411,Green Energy Loan,46195,17,0.07,2024-01-28,3
LOAN000076,CUST00083,Special Advance,50411,8,0.06,2022-04-04,3
LOAN000077,CUST00833,Special Advance,78438,12,0.06,2023-01-14,3
LOAN000078,CUST02390,Jipange Loan,171796,18,0.08,2020-11-14,10
LOAN000079,CUST00147,Seasonal Advance,91431,7,0.08,2019-03-12,1
LOAN000080,CUST00986,Avocado Loan,924336,47,0.11,2022-06-16,11
LOAN000081,CUST02383,Normal Loan,445371,27,0.1,2020-12-22,13
LOAN000082,CUST03731,Jipange Loan,147277,19,0.08,2022-10-03,11
LOAN000083,CUST02727,Additional Loan,189306,33,0.1,2022-11-30,7
LOAN000084,CUST02271,Boda Boda Loan,719573,41,0.12,2021-08-09,11
LOAN000085,CUST04702,Green Energy Loan,417567,18,0.07,2021-08-11,14
LOAN000086,CUST03448,Salary Advance,98987,3,0.05,2023-08-27,2
LOAN000087,CUST03745,Seasonal Advance,373803,23,0.08,2019-12-26,8
LOAN000088,CUST04344,Boda Boda Loan,90459,47,0.12,2022-04-28,1
LOAN000089,CUST04560,Boda Boda Loan,892023,40,0.12,2022-02-27,7
LOAN000090,CUST04956,Jipange Loan,291196,35,0.08,2020-04-28,10
LOAN000091,CUST04088,Salary Advance,45691,11,0.05,2019-12-07,1
LOAN000092,CUST01606,Jipange Loan,338677,15,0.08,2024-04-02,13
LOAN000093,CUST00682,Salary Advance,41518,11,0.05,2021-01-12,2
LOAN000094,CUST00398,Special Advance,30577,9,0.06,2023-04-26,3
LOAN000095,CUST02309,Normal Loan,828161,34,0.1,2022-07-15,14
LOAN000096,CUST01467,Seasonal Advance,287078,24,0.08,2022-07-25,7
LOAN000097,CUST00441,Special Advance,87367,12,0.06,2020-03-31,1
LOAN000098,CUST01852,Seasonal Advance,25853,24,0.08,2022-03-03,3
LOAN000099,CUST03552,Green Energy Loan,20257,35,0.07,2020-04-26,1
LOAN000100,CUST04686,Avocado Loan,276780,51,0.11,2020-09-26,8
LOAN000101,CUST00992,Normal Loan,585593,54,0.1,2021-12-11,12
LOAN000102,CUST02993,Seasonal Advance,279450,8,0.08,2024-10-07,11
LOAN000103,CUST02011,Avocado Loan,294015,46,0.11,2020-10-09,12
LOAN000104,CUST01729,Avocado Loan,456514,23,0.11,2020-05-07,14
LOAN000105,CUST00308,Avocado Loan,508527,40,0.11,2023-06-09,7
LOAN000106,CUST02697,Jipange Loan,444058,8,0.08,2022-01-30,11
LOAN000107,CUST00144,Additional Loan,499242,28,0.1,2024-06-07,10
LOAN000108,CUST03619,Avocado Loan,259389,31,0.11,2020-09-24,14
LOAN000109,CUST00330,Jipange Loan,44232,6,0.08,2019-11-26,1
LOAN000110,CUST01905,Special Advance,70363,6,0.06,2022-09-12,2
LOAN000111,CUST00784,Salary Advance,87781,11,0.05,2020-10-30,3
LOAN000112,CUST00990,Additional Loan,397302,20,0.1,2020-03-17,12
LOAN000113,CUST03233,Emergency Loan,14020,4,0.09,2020-09-09,2
LOAN000114,CUST02875,Jipange Loan,45602,11,0.08,2019-09-10,3
LOAN000115,CUST03199,Jipange Loan,242741,28,0.08,2020-03-23,14
LOAN000116,CUST02052,Jipange Loan,39752,19,0.08,2020-04-13,2
LOAN000117,CUST03564,Normal Loan,556615,19,0.1,2019-03-11,7
LOAN000118,CUST01410,Boda Boda Loan,783664,29,0.12,2020-05-04,12
LOAN000119,CUST03911,Boda Boda Loan,365894,60,0.12,2023-09-18,14
LOAN000120,CUST04601,Normal Loan,50116,12,0.1,2023-12-19,1
LOAN000121,CUST00186,Additional Loan,123246,28,0.1,2021-06-22,14
LOAN000122,CUST03353,Normal Loan,246508,55,0.1,2020-05-08,11
LOAN000123,CUST03911,Boda Boda Loan,564109,30,0.12,2024-01-25,14
LOAN000124,CUST01305,Additional Loan,368896,33,0.1,2019-03-21,8
LOAN000125,CUST01659,Boda Boda Loan,152034,48,0.12,2021-11-11,10
LOAN000126,CUST03866,Avocado Loan,685474,15,0.11,2023-03-21,9
LOAN000127,CUST02788,Maziwa Loan,378660,30,0.09,2024-12-16,12
LOAN000128,CUST03056,Seasonal Advance,462993,20,0.08,2024-02-20,10
LOAN000129,CUST04966,Boda Boda Loan,653323,30,0.12,2021-02-01,8
LOAN000130,CUST02410,Normal Loan,247445,43,0.1,2024-07-08,14
LOAN000131,CUST02231,Maziwa Loan,277031,10,0.09,2023-06-10,10
LOAN000132,CUST01006,Normal Loan,304023,49,0.1,2020-10-14,8
LOAN000133,CUST02179,Maziwa Loan,179526,35,0.09,2020-07-10,11
LOAN000134,CUST01966,Jipange Loan,338085,21,0.08,2023-10-21,11
LOAN000135,CUST03467,Green Energy Loan,483124,34,0.07,2022-05-01,10
LOAN000136,CUST03733,Maziwa Loan,303293,29,0.09,2024-12-28,13
LOAN000137,CUST03115,Salary Advance,94701,12,0.05,2024-11-15,3
LOAN000138,CUST03076,Special Advance,92195,5,0.06,2019-01-09,2
LOAN000139,CUST03397,Salary Advance,77855,6,0.05,2019-02-01,3
LOAN000140,CUST00790,Jipange Loan,397683,34,0.08,2023-11-08,8
LOAN000141,CUST02926,Emergency Loan,20256,11,0.09,2023-12-13,1
LOAN000142,CUST03431,Emergency Loan,16063,9,0.09,2020-02-13,2
LOAN000143,CUST01998,Salary Advance,22631,8,0.05,2023-09-15,2
LOAN000144,CUST02016,Emergency Loan,41811,6,0.09,2019-01-28,2
LOAN000145,CUST02738,Maziwa Loan,293436,23,0.09,2020-09-25,8
LOAN000146,CUST00711,Salary Advance,38883,11,0.05,2023-02-12,3
LOAN000147,CUST04695,Normal Loan,50071,54,0.1,2024-11-27,2
LOAN000148,CUST03451,Jipange Loan,275088,18,0.08,2019-08-20,7
LOAN000149,CUST01203,Emergency Loan,18234,11,0.09,2024-01-06,2
LOAN000150,CUST03119,Normal Loan,394109,58,0.1,2024-05-29,11
LOAN000151,CUST03050,Seasonal Advance,103595,10,0.08,2022-06-23,13
LOAN000152,CUST04761,Jipange Loan,245167,24,0.08,2020-12-27,12
LOAN000153,CUST03853,Jipange Loan,435943,26,0.08,2020-05-08,7
LOAN000154,CUST03699,Boda Boda Loan,233731,14,0.12,2024-09-02,8
LOAN000155,CUST00053,Salary Advance,17530,8,0.05,2021-01-07,2
LOAN000156,CUST01778,Jipange Loan,271107,36,0.08,2023-11-22,9
LOAN000157,CUST01311,Avocado Loan,225161,16,0.11,2022-02-03,7
LOAN000158,CUST01407,Maziwa Loan,321140,7,0.09,2022-12-31,11
LOAN000159,CUST04086,Green Energy Loan,264162,20,0.07,2023-01-04,14
LOAN000160,CUST04675,Seasonal Advance,262909,7,0.08,2021-11-14,7
LOAN000161,CUST02279,Jipange Loan,29250,34,0.08,2021-08-29,2
LOAN000162,CUST03522,Green Energy Loan,341878,33,0.07,2022-10-21,13
LOAN000163,CUST02437,Special Advance,83360,3,0.06,2021-06-17,2
LOAN000164,CUST01309,Boda Boda Loan,617061,42,0.12,2024-01-04,13
LOAN000165,CUST02354,Avocado Loan,402598,32,0.11,2022-06-02,10
LOAN000166,CUST03870,Emergency Loan,40766,11,0.09,2021-07-03,3
LOAN000167,CUST01295,Special Advance,32146,9,0.06,2024-11-09,1
LOAN000168,CUST01565,Maziwa Loan,275562,33,0.09,2022-07-05,10
LOAN000169,CUST00409,Avocado Loan,683581,56,0.11,2024-07-15,14
LOAN000170,CUST01099,Additional Loan,104516,14,0.1,2022-02-26,9
LOAN000171,CUST01509,Seasonal Advance,187584,11,0.08,2022-03-30,10
LOAN000172,CUST00112,Green Energy Loan,214735,8,0.07,2021-08-30,11
LOAN000173,CUST01272,Boda Boda Loan,950500,15,0.12,2021-07-26,10
LOAN000174,CUST02884,Additional Loan,492883,25,0.1,2022-07-15,8
LOAN000175,CUST04587,Jipange Loan,376569,18,0.08,2019-06-13,14
LOAN000176,CUST01676,Seasonal Advance,277871,24,0.08,2022-12-11,12
LOAN000177,CUST00325,Special Advance,20287,4,0.06,2021-03-11,3
LOAN000178,CUST03434,Salary Advance,70109,6,0.05,2023-08-18,1
LOAN000179,CUST04074,Seasonal Advance,182862,15,0.08,2024-02-20,7
LOAN000180,CUST03827,Green Energy Loan,192993,16,0.07,2021-06-24,12
LOAN000181,CUST01433,Green Energy Loan,332341,17,0.07,2020-01-21,13
LOAN000182,CUST04900,Additional Loan,220920,17,0.1,2022-11-08,11
LOAN000183,CUST02810,Additional Loan,403423,24,0.1,2023-10-19,7
LOAN000184,CUST01827,Seasonal Advance,380349,21,0.08,2021-06-20,9
LOAN000185,CUST01149,Additional Loan,238890,20,0.1,2023-10-16,8
LOAN000186,CUST03940,Green Energy Loan,471019,15,0.07,2021-07-05,10
LOAN000187,CUST03785,Seasonal Advance,84430,9,0.08,2020-09-30,1
LOAN000188,CUST04380,Normal Loan,848025,30,0.1,2021-08-17,11
LOAN000189,CUST00872,Emergency Loan,39439,12,0.09,2022-04-20,3
LOAN000190,CUST00044,Emergency Loan,14538,4,0.09,2024-12-17,3
LOAN000191,CUST03594,Additional Loan,101978,13,0.1,2020-05-19,14
LOAN000192,CUST04965,Special Advance,92639,6,0.06,2023-08-05,1
LOAN000193,CUST02223,Maziwa Loan,133680,16,0.09,2020-09-25,10
LOAN000194,CUST02435,Special Advance,55337,5,0.06,2022-12-14,1
LOAN000195,CUST04703,Green Energy Loan,268180,18,0.07,2021-10-05,10
LOAN000196,CUST00002,Jipange Loan,194365,25,0.08,2020-02-08,9
LOAN000197,CUST02509,Seasonal Advance,408777,17,0.08,2024-04-10,9
LOAN000198,CUST04494,Avocado Loan,66504,21,0.11,2023-11-02,1
LOAN000199,CUST03404,Salary Advance,46499,10,0.05,2020-01-26,3
LOAN000200,CUST00597,Special Advance,57872,11,0.06,2023-01-29,1
LOAN000201,CUST01790,Salary Advance,21498,12,0.05,2022-06-19,3
LOAN000202,CUST03805,Additional Loan,191689,6,0.1,2020-02-08,11
LOAN000203,CUST01785,Boda Boda Loan,670345,54,0.12,2020-02-17,7
LOAN000204,CUST03070,Salary Advance,68881,12,0.05,2019-08-05,3
LOAN000205,CUST04067,Avocado Loan,302385,52,0.11,2021-10-21,12
LOAN000206,CUST04911,Emergency Loan,29197,9,0.09,2021-03-09,1
LOAN000207,CUST02172,Normal Loan,214645,33,0.1,2021-07-31,14
LOAN000208,CUST04754,Green Energy Loan,465184,31,0.07,2022-06-25,14
LOAN000209,CUST04326,Special Advance,65383,4,0.06,2020-03-04,2
LOAN000210,CUST04669,Emergency Loan,23806,4,0.09,2024-06-18,2
LOAN000211,CUST04096,Boda Boda Loan,273341,31,0.12,2021-06-18,10
LOAN000212,CUST00517,Green Energy Loan,431342,36,0.07,2022-03-01,13
LOAN000213,CUST00314,Jipange Loan,268964,15,0.08,2023-09-25,10
LOAN000214,CUST01361,Emergency Loan,47585,6,0.09,2024-08-02,1
LOAN000215,CUST02125,Green Energy Loan,267838,19,0.07,2023-09-30,10
LOAN000216,CUST00828,Emergency Loan,49017,5,0.09,2022-01-24,2
LOAN000217,CUST01677,Maziwa Loan,462025,30,0.09,2021-11-19,11
LOAN000218,CUST02148,Jipange Loan,141625,8,0.08,2019-06-10,11
LOAN000219,CUST04392,Maziwa Loan,176977,36,0.09,2023-07-05,12
LOAN000220,CUST03779,Avocado Loan,860707,15,0.11,2022-03-07,8
LOAN000221,CUST03764,Jipange Loan,96565,36,0.08,2022-08-26,1
LOAN000222,CUST03330,Avocado Loan,783520,53,0.11,2024-12-19,12
LOAN000223,CUST01461,Avocado Loan,531528,48,0.11,2019-03-04,8
LOAN000224,CUST02755,Boda Boda Loan,956034,19,0.12,2022-06-25,14
LOAN000225,CUST02571,Green Energy Loan,185127,24,0.07,2021-04-28,11
LOAN000226,CUST00778,Salary Advance,10360,6,0.05,2024-05-28,2
LOAN000227,CUST01564,Additional Loan,135807,14,0.1,2024-04-19,8
LOAN000228,CUST00395,Salary Advance,15044,12,0.05,2024-01-25,1
LOAN000229,CUST01521,Maziwa Loan,189772,24,0.09,2019-10-19,14
LOAN000230,CUST01273,Seasonal Advance,151889,8,0.08,2019-06-30,12
LOAN000231,CUST00655,Salary Advance,33480,5,0.05,2020-01-09,3
LOAN000232,CUST03591,Salary Advance,42611,6,0.05,2020-09-15,1
LOAN000233,CUST01476,Jipange Loan,44234,34,0.08,2024-04-02,3
LOAN000234,CUST02615,Emergency Loan,14958,12,0.09,2020-03-17,1
LOAN000235,CUST01916,Maziwa Loan,77036,26,0.09,2023-07-21,3
LOAN000236,CUST00003,Maziwa Loan,142346,12,0.09,2023-11-07,10
LOAN000237,CUST00413,Boda Boda Loan,856028,52,0.12,2021-12-25,14
LOAN000238,CUST04116,Avocado Loan,828722,23,0.11,2020-08-15,14
LOAN000239,CUST04092,Avocado Loan,209491,25,0.11,2020-04-13,9
LOAN000240,CUST03850,Normal Loan,472504,19,0.1,2019-04-07,8
LOAN000241,CUST04541,Boda Boda Loan,561165,56,0.12,2019-07-14,11
LOAN000242,CUST01370,Special Advance,44125,5,0.06,2019-09-08,1
LOAN000243,CUST03934,Special Advance,84821,6,0.06,2022-11-09,2
LOAN000244,CUST01754,Special Advance,57803,12,0.06,2022-01-03,2
LOAN000245,CUST03412,Green Energy Loan,409219,22,0.07,2022-04-13,9
LOAN000246,CUST02421,Emergency Loan,10322,12,0.09,2023-03-20,1
LOAN000247,CUST02730,Boda Boda Loan,905352,57,0.12,2021-03-16,12
LOAN000248,CUST00353,Green Energy Loan,477758,35,0.07,2024-08-03,12
LOAN000249,CUST00478,Avocado Loan,234449,60,0.11,2023-05-03,9
LOAN000250,CUST02292,Avocado Loan,385245,21,0.11,2019-05-29,13
LOAN000251,CUST04823,Avocado Loan,186802,14,0.11,2023-11-19,10
LOAN000252,CUST03940,Avocado Loan,367558,47,0.11,2020-09-06,12
LOAN000253,CUST04504,Boda Boda Loan,928368,59,0.12,2021-07-01,13
LOAN000254,CUST02101,Boda Boda Loan,573495,17,0.12,2022-08-06,7
LOAN000255,CUST03748,Green Energy Loan,377529,15,0.07,2019-06-08,13
LOAN000256,CUST03688,Additional Loan,222592,24,0.1,2020-04-20,11
LOAN000257,CUST02929,Additional Loan,10547,18,0.1,2021-01-24,2
LOAN000258,CUST04949,Seasonal Advance,495870,21,0.08,2019-08-10,8
LOAN000259,CUST03226,Special Advance,10523,9,0.06,2020-11-11,3
LOAN000260,CUST01351,Emergency Loan,24659,12,0.09,2021-05-10,2
LOAN000261,CUST00373,Boda Boda Loan,433016,16,0.12,2023-11-20,9
LOAN000262,CUST01490,Additional Loan,351258,35,0.1,2020-01-28,9
LOAN000263,CUST04998,Seasonal Advance,262800,16,0.08,2019-02-04,9
LOAN000264,CUST03638,Green Energy Loan,429385,26,0.07,2022-10-11,13
LOAN000265,CUST02868,Emergency Loan,38821,7,0.09,2020-03-25,1
LOAN000266,CUST03566,Avocado Loan,281948,22,0.11,2023-06-21,10
LOAN000267,CUST01474,Boda Boda Loan,408485,20,0.12,2020-05-06,11
LOAN000268,CUST01648,Avocado Loan,145814,28,0.11,2022-04-27,8
LOAN000269,CUST01023,Special Advance,92441,8,0.06,2024-03-29,3
LOAN000270,CUST02223,Salary Advance,89398,5,0.05,2022-09-30,2
LOAN000271,CUST04418,Green Energy Loan,350970,35,0.07,2024-03-13,13
LOAN000272,CUST01092,Emergency Loan,29961,12,0.09,2019-08-21,2
LOAN000273,CUST02846,Boda Boda Loan,551334,40,0.12,2024-11-24,10
LOAN000274,CUST02540,Additional Loan,306128,25,0.1,2020-06-05,10
LOAN000275,CUST02380,Salary Advance,72076,5,0.05,2019-12-07,1
LOAN000276,CUST04867,Jipange Loan,129240,16,0.08,2019-02-28,10
LOAN000277,CUST03115,Seasonal Advance,200207,15,0.08,2023-03-18,8
LOAN000278,CUST00490,Salary Advance,16703,8,0.05,2022-03-14,3
LOAN000279,CUST02592,Special Advance,83854,8,0.06,2022-12-02,3
LOAN000280,CUST03841,Green Energy Loan,54936,13,0.07,2022-08-01,2
LOAN000281,CUST03981,Maziwa Loan,280337,19,0.09,2023-05-13,14
LOAN000282,CUST00036,Jipange Loan,133089,21,0.08,2023-02-02,12
LOAN000283,CUST01306,Jipange Loan,374286,26,0.08,2019-09-22,10
LOAN000284,CUST02699,Maziwa Loan,175339,15,0.09,2019-09-04,9
LOAN000285,CUST02841,Normal Loan,931063,55,0.1,2021-04-12,8
LOAN000286,CUST00173,Normal Loan,731417,22,0.1,2024-06-29,7
LOAN000287,CUST01700,Salary Advance,72468,4,0.05,2021-08-02,3
LOAN000288,CUST04386,Emergency Loan,32632,4,0.09,2023-10-26,3
LOAN000289,CUST03490,Additional Loan,352744,17,0.1,2019-09-25,14
LOAN000290,CUST03174,Special Advance,57683,9,0.06,2024-11-12,1
LOAN000291,CUST00665,Boda Boda Loan,496845,41,0.12,2020-05-29,12
LOAN000292,CUST02499,Salary Advance,93663,4,0.05,2023-06-26,1
LOAN000293,CUST02036,Normal Loan,471723,60,0.1,2022-12-19,14
LOAN000294,CUST04027,Normal Loan,459798,19,0.1,2024-04-10,13
LOAN000295,CUST00121,Seasonal Advance,169236,10,0.08,2024-05-28,11
LOAN000296,CUST01081,Green Energy Loan,434022,23,0.07,2023-06-06,12
LOAN000297,CUST04203,Salary Advance,64895,9,0.05,2023-04-19,2
LOAN000298,CUST02287,Boda Boda Loan,703566,60,0.12,2021-11-16,9
LOAN000299,CUST01437,Avocado Loan,331095,45,0.11,2020-06-13,10
LOAN000300,CUST00021,Normal Loan,794370,52,0.1,2022-11-20,9
LOAN000301,CUST00853,Avocado Loan,616578,51,0.11,2019-05-30,11
LOAN000302,CUST03605,Emergency Loan,38039,12,0.09,2021-12-06,2
LOAN000303,CUST02991,Emergency Loan,49833,6,0.09,2023-11-07,1
LOAN000304,CUST03063,Special Advance,67272,12,0.06,2023-03-23,3
LOAN000305,CUST03642,Additional Loan,378629,30,0.1,2022-02-12,11
LOAN000306,CUST01998,Normal Loan,687037,12,0.1,2021-01-12,12
LOAN000307,CUST03824,Jipange Loan,182334,27,0.08,2019-05-18,13
LOAN000308,CUST01945,Special Advance,54497,10,0.06,2022-03-06,1
LOAN000309,CUST04752,Jipange Loan,253081,20,0.08,2021-02-14,14
LOAN000310,CUST01218,Additional Loan,371464,6,0.1,2021-09-21,7
LOAN000311,CUST01010,Emergency Loan,36111,12,0.09,2020-05-27,2
LOAN000312,CUST02722,Seasonal Advance,300450,7,0.08,2023-08-16,12
LOAN000313,CUST02695,Maziwa Loan,228285,6,0.09,2024-03-29,11
LOAN000314,CUST03826,Maziwa Loan,286897,6,0.09,2020-10-08,8
LOAN000315,CUST00017,Boda Boda Loan,730012,28,0.12,2023-12-10,14
LOAN000316,CUST03843,Maziwa Loan,370761,33,0.09,2021-01-11,9
LOAN000317,CUST02444,Seasonal Advance,68996,15,0.08,2023-01-10,1
LOAN000318,CUST04806,Additional Loan,382842,10,0.1,2022-08-08,10
LOAN000319,CUST03148,Special Advance,48690,10,0.06,2020-09-24,1
LOAN000320,CUST00203,Avocado Loan,79339,34,0.11,2022-12-20,3
LOAN000321,CUST00233,Boda Boda Loan,148718,18,0.12,2023-03-23,12
LOAN000322,CUST00787,Special Advance,63631,10,0.06,2023-12-01,3
LOAN000323,CUST04767,Avocado Loan,599350,56,0.11,2019-01-30,9
LOAN000324,CUST04866,Green Energy Loan,35234,7,0.07,2021-12-29,1
LOAN000325,CUST01773,Salary Advance,12374,8,0.05,2019-07-27,3
LOAN000326,CUST00096,Special Advance,50907,8,0.06,2019-07-26,2
LOAN000327,CUST04736,Salary Advance,49679,5,0.05,2024-12-11,1
LOAN000328,CUST00274,Special Advance,10111,4,0.06,2020-09-05,2
LOAN000329,CUST03990,Avocado Loan,464640,13,0.11,2020-12-06,9
LOAN000330,CUST01400,Normal Loan,875072,30,0.1,2024-12-19,9
LOAN000331,CUST02021,Boda Boda Loan,994859,29,0.12,2019-04-14,12
LOAN000332,CUST03571,Green Energy Loan,399432,29,0.07,2021-01-31,7
LOAN000333,CUST04898,Additional Loan,238593,36,0.1,2021-08-01,9
LOAN000334,CUST02224,Avocado Loan,206495,15,0.11,2019-06-18,14
LOAN000335,CUST01944,Jipange Loan,108620,30,0.08,2022-01-12,9
LOAN000336,CUST02093,Normal Loan,634199,54,0.1,2021-06-03,13
LOAN000337,CUST01885,Seasonal Advance,76584,23,0.08,2024-09-09,1
LOAN000338,CUST04526,Jipange Loan,281875,8,0.08,2019-09-04,11
LOAN000339,CUST00676,Seasonal Advance,326077,23,0.08,2024-06-25,13
LOAN000340,CUST01634,Boda Boda Loan,729848,35,0.12,2020-05-12,14
LOAN000341,CUST01331,Boda Boda Loan,628389,59,0.12,2022-11-22,7
LOAN000342,CUST02976,Jipange Loan,220082,33,0.08,2024-02-28,14
LOAN000343,CUST01267,Boda Boda Loan,365669,41,0.12,2021-02-27,10
LOAN000344,CUST00137,Maziwa Loan,396217,9,0.09,2023-03-28,10
LOAN000345,CUST00932,Salary Advance,54934,12,0.05,2019-04-13,2
LOAN000346,CUST01942,Emergency Loan,32562,6,0.09,2020-06-15,3
LOAN000347,CUST00169,Avocado Loan,805283,23,0.11,2021-02-23,12
LOAN000348,CUST00462,Seasonal Advance,56881,13,0.08,2019-06-01,1
LOAN000349,CUST04506,Green Energy Loan,286055,10,0.07,2021-05-22,11
LOAN000350,CUST03517,Emergency Loan,23725,6,0.09,2022-08-24,2
LOAN000351,CUST00556,Maziwa Loan,336566,10,0.09,2023-08-15,14
LOAN000352,CUST00598,Normal Loan,219827,27,0.1,2023-05-05,10
LOAN000353,CUST02846,Normal Loan,328235,23,0.1,2019-05-02,7
LOAN000354,CUST01266,Avocado Loan,564841,57,0.11,2022-02-17,13
LOAN000355,CUST04320,Emergency Loan,38922,9,0.09,2022-08-15,2
