RepaymentID,LoanID,RepaymentDate,RepaymentAmount,RepaymentStatus,PaymentMethod
RP0000142,LOAN000420,2024-06-15,12957.26,On Time,M-Pesa
RP0000143,LOAN008489,2023-02-10,14366.26,On Time,M-Pesa
RP0000144,LOAN007010,2022-02-25,9847.48,On Time,M-Pesa
RP0000145,LOAN006014,2026-05-02,3479.94,On Time,M-Pesa
RP0000146,LOAN000791,2021-12-28,18517.05,Late,M-Pesa
RP0000147,LOAN007339,2023-02-27,26105.47,On Time,M-Pesa
RP0000148,LOAN008509,2023-09-13,74334.56803911884,On Time,Cash
RP0000149,LOAN002781,2022-05-17,2444.95,On Time,M-Pesa
RP0000150,LOAN005635,2023-06-22,3934.97,On Time,M-Pesa
RP0000151,LOAN007371,2022-12-20,15489.37,On Time,M-Pesa
RP0000152,LOAN008336,2021-04-20,3190.26,On Time,M-Pesa
RP0000153,LOAN005870,2022-01-14,15965.83,On Time,Cash
RP0000154,LOAN000830,2022-07-08,20172.73,On Time,M-Pesa
RP0000155,LOAN002675,2023-10-18,41880.52,On Time,M-Pesa
RP0000156,LOAN003465,2024-12-08,11337.77,On Time,M-Pesa
RP0000157,LOAN002807,2024-01-17,4811.96,On Time,M-Pesa
RP0000158,LOAN003650,2020-02-25,4269.1,On Time,M-Pesa
RP0000159,LOAN007066,2020-11-02,5713.82,On Time,M-Pesa
RP0000160,LOAN003395,2020-05-08,16316.04,Defaulted,Bank Transfer
RP0000161,LOAN009487,2024-04-01,24196.78,On Time,M-Pesa
RP0000162,LOAN008723,2025-03-29,4671.51,On Time,M-Pesa
RP0000163,LOAN007913,2024-09-18,7293.79,On Time,M-Pesa
RP0000164,LOAN008718,2020-02-21,2992.84,On Time,Bank Transfer
RP0000165,LOAN009359,2023-11-20,17252.79,On Time,M-Pesa
RP0000166,LOAN002111,2024-09-28,3087.82,Late,M-Pesa
RP0000167,LOAN006955,2026-03-26,2231.72,On Time,M-Pesa
RP0000168,LOAN002731,2021-03-19,30138.76,On Time,M-Pesa
RP0000169,LOAN009857,2021-11-23,8449.19,Late,M-Pesa
RP0000170,LOAN005252,2022-08-29,10401.87,Late,Cash
RP0000171,LOAN009045,2024-09-07,21209.08,On Time,M-Pesa
RP0000172,LOAN003097,2024-09-04,5936.08,On Time,M-Pesa
RP0000173,LOAN005972,2023-10-04,8085.37,On Time,M-Pesa
RP0000174,LOAN000225,2023-04-18,8288.61,On Time,M-Pesa
RP0000175,LOAN003637,2019-09-11,17194.49,On Time,M-Pesa
RP0000176,LOAN000419,2026-02-26,21992.35,On Time,M-Pesa
RP0000177,LOAN000409,2021-09-10,16096.58,On Time,M-Pesa
RP0000178,LOAN008323,2022-08-04,18957.8,On Time,M-Pesa
RP0000179,LOAN007693,2020-05-23,4276.52,On Time,M-Pesa
RP0000180,LOAN006435,2025-02-15,23724.19,On Time,M-Pesa
RP0000181,LOAN009246,2024-09-17,10488.56,On Time,M-Pesa
RP0000182,LOAN001054,2022-05-20,19489.53,Late,M-Pesa
RP0000183,LOAN005306,2021-02-16,36985.38,Late,M-Pesa
RP0000184,LOAN001368,2022-12-20,3149.73,On Time,M-Pesa
RP0000185,LOAN008794,2019-06-28,82143.51,On Time,M-Pesa
RP0000186,LOAN002881,2022-12-26,24685.43,On Time,M-Pesa
RP0000187,LOAN009569,2021-10-11,9009.96,On Time,M-Pesa
RP0000188,LOAN009288,2020-12-27,2318.86,On Time,M-Pesa
RP0000189,LOAN005132,2023-10-11,3605.95,On Time,M-Pesa
RP0000190,LOAN001995,2020-05-14,5866.23,On Time,M-Pesa
RP0000191,LOAN001298,2020-08-14,43637.82,On Time,M-Pesa
RP0000192,LOAN007404,2021-05-24,22770.84,On Time,M-Pesa
RP0000193,LOAN001128,2025-09-19,25973.46,On Time,M-Pesa
RP0000194,LOAN003649,2022-12-03,8890.12,On Time,M-Pesa
RP0000195,LOAN007893,2024-12-10,3635.49,On Time,M-Pesa
RP0000196,LOAN003109,2023-02-25,23215.18,On Time,M-Pesa
RP0000197,LOAN009902,2021-08-21,776.05,On Time,M-Pesa
RP0000198,LOAN008920,2024-09-11,15206.45,On Time,M-Pesa
RP0000199,LOAN008058,2022-05-07,50375.87,On Time,M-Pesa
RP0000200,LOAN007468,2020-11-17,6862.162603598956,On Time,M-Pesa
RP0000201,LOAN009746,2024-10-04,13841.02,Late,M-Pesa
RP0000202,LOAN002639,2022-05-13,6466.39,On Time,M-Pesa
RP0000203,LOAN001952,2024-09-08,8396.85,Late,M-Pesa
RP0000204,LOAN002022,2024-02-14,2438.76,On Time,M-Pesa
RP0000205,LOAN001556,2021-09-23,1656.49,On Time,M-Pesa
RP0000206,LOAN008777,2022-10-22,33975.4,On Time,M-Pesa
RP0000207,LOAN003497,2020-04-09,68319.59,On Time,Bank Transfer
RP0000208,LOAN007671,2025-06-28,3437.16,Late,M-Pesa
RP0000209,LOAN009570,2023-05-15,17323.47,On Time,M-Pesa
RP0000210,LOAN004259,2021-01-02,31506.95,On Time,M-Pesa
RP0000211,LOAN003257,2019-08-24,2744.19,On Time,M-Pesa
RP0000212,LOAN001400,2021-10-31,16620.56,On Time,M-Pesa
RP0000213,LOAN002843,2028-11-24,10646.01,On Time,M-Pesa
RP0000214,LOAN002322,2022-06-22,28290.4,Late,M-Pesa
RP0000215,LOAN006037,2027-03-25,15214.57,On Time,M-Pesa
RP0000216,LOAN006802,2020-11-22,6657.68,On Time,M-Pesa
RP0000217,LOAN006649,2026-02-17,23305.56,On Time,M-Pesa
RP0000218,LOAN001167,2024-01-09,44972.13,On Time,M-Pesa
RP0000219,LOAN003631,2023-01-19,18504.78,On Time,M-Pesa
RP0000220,LOAN000736,2023-05-11,16218.51,On Time,M-Pesa
RP0000221,LOAN009261,2026-05-20,20167.49,Late,M-Pesa
RP0000222,LOAN005114,2023-09-09,51287.28,On Time,M-Pesa
RP0000223,LOAN009373,2021-07-07,19393.98,Late,M-Pesa
RP0000224,LOAN003554,2023-11-02,10286.26,On Time,M-Pesa
RP0000225,LOAN005136,2022-02-08,31643.48,On Time,M-Pesa
RP0000226,LOAN001174,2019-12-02,10331.6,On Time,M-Pesa
RP0000227,LOAN002376,2021-01-04,2844.84,Late,M-Pesa
RP0000228,LOAN006967,2025-04-29,16322.84,On Time,M-Pesa
RP0000229,LOAN001532,2024-06-21,21116.24,On Time,M-Pesa
RP0000230,LOAN005219,2023-02-14,34881.33,On Time,M-Pesa
RP0000231,LOAN004491,2023-07-23,42640.42,Prepaid,M-Pesa
RP0000232,LOAN005331,2024-07-06,15203.38,On Time,M-Pesa
RP0000233,LOAN009055,2021-11-11,27557.41,On Time,M-Pesa
RP0000234,LOAN003617,2022-03-14,4980.06,On Time,M-Pesa
RP0000235,LOAN002775,2019-10-03,28832.88,On Time,M-Pesa
RP0000236,LOAN003094,2023-11-16,8983.0,On Time,M-Pesa
RP0000237,LOAN008762,2021-01-01,38825.82,On Time,M-Pesa
RP0000238,LOAN001819,2020-08-01,6067.45,On Time,M-Pesa
RP0000239,LOAN009203,2023-11-15,2381.75,On Time,M-Pesa
RP0000240,LOAN003724,2023-10-04,10856.62,On Time,M-Pesa
RP0000241,LOAN003516,2023-09-25,25987.28,On Time,M-Pesa
RP0000242,LOAN006613,2023-04-15,1838.2,On Time,M-Pesa
RP0000243,LOAN002376,2020-08-07,2844.84,Prepaid,M-Pesa
RP0000244,LOAN009677,2020-05-09,6327.81,On Time,M-Pesa
RP0000245,LOAN009761,2020-05-28,20446.65,On Time,M-Pesa
RP0000246,LOAN005314,2019-12-13,77400.55,Prepaid,Cash
RP0000247,LOAN007561,2025-01-25,14620.68,On Time,M-Pesa
RP0000248,LOAN009677,2020-05-09,6327.81,On Time,M-Pesa
RP0000249,LOAN001306,2020-11-16,13875.51,On Time,M-Pesa
RP0000250,LOAN007853,2024-02-25,11444.69,On Time,M-Pesa
RP0000251,LOAN000393,2022-09-04,13297.02,On Time,M-Pesa
RP0000252,LOAN007147,2024-08-13,56916.63,Prepaid,M-Pesa
RP0000253,LOAN009529,2022-01-07,7126.23,On Time,M-Pesa
RP0000254,LOAN004281,2024-03-06,11367.9,On Time,M-Pesa
RP0000255,LOAN000119,2023-12-17,8139.11,On Time,M-Pesa
RP0000256,LOAN006473,2021-04-18,20831.12,On Time,M-Pesa
RP0000257,LOAN006990,2022-06-19,28108.08,On Time,M-Pesa
RP0000258,LOAN005022,2025-05-11,8316.84,On Time,M-Pesa
RP0000259,LOAN003375,2021-04-08,20010.52,On Time,M-Pesa
RP0000260,LOAN009072,2022-04-02,2232.81,On Time,M-Pesa
RP0000261,LOAN008276,2021-06-24,1770.9,Prepaid,M-Pesa
RP0000262,LOAN009199,2026-08-25,17747.22,On Time,M-Pesa
RP0000263,LOAN000438,2019-10-03,21528.12263610011,On Time,M-Pesa
RP0000264,LOAN000663,2019-09-19,25551.02,On Time,M-Pesa
RP0000265,LOAN005583,2023-11-21,6810.48,Prepaid,M-Pesa
RP0000266,LOAN005432,2020-09-20,8969.87,On Time,M-Pesa
RP0000267,LOAN007711,2021-03-13,7070.88,On Time,M-Pesa
RP0000268,LOAN005081,2023-05-10,30301.17,On Time,M-Pesa
RP0000269,LOAN004286,2021-11-26,2425.65,On Time,M-Pesa
RP0000270,LOAN005747,2020-07-27,4060.89,On Time,M-Pesa
RP0000271,LOAN000979,2022-12-23,31463.29,On Time,M-Pesa
RP0000272,LOAN008764,2024-05-26,4385.02,On Time,Bank Transfer
RP0000273,LOAN008613,2023-09-20,4536.01,On Time,M-Pesa
RP0000274,LOAN002850,2021-07-26,10922.48,On Time,M-Pesa
RP0000275,LOAN007425,2022-09-23,7925.77,On Time,Cash
RP0000276,LOAN005417,2023-10-03,4643.33,On Time,M-Pesa
RP0000277,LOAN001759,2022-01-30,16450.12,Defaulted,M-Pesa
RP0000278,LOAN009644,2022-12-14,32395.23,Defaulted,M-Pesa
RP0000279,LOAN008995,2021-11-24,20063.13,On Time,M-Pesa
RP0000280,LOAN002709,2022-11-02,14481.04,Late,M-Pesa
RP0000281,LOAN009416,2025-07-05,3289.83,On Time,M-Pesa
RP0000282,LOAN003410,2024-04-21,2959.43,Prepaid,M-Pesa
RP0000283,LOAN006423,2025-06-24,24854.24,Late,M-Pesa
RP0000284,LOAN002525,2023-11-07,10220.35,On Time,M-Pesa
RP0000285,LOAN008656,2020-08-12,22755.74,On Time,M-Pesa
RP0000286,LOAN007602,2025-01-16,5064.27,On Time,M-Pesa
RP0000287,LOAN008697,2024-07-25,7949.74,On Time,M-Pesa
RP0000288,LOAN000534,2019-09-21,37168.85,On Time,Bank Transfer
RP0000289,LOAN009346,2020-10-12,43108.7,On Time,M-Pesa
RP0000290,LOAN005930,2020-03-27,6586.99,On Time,M-Pesa
RP0000291,LOAN007582,2023-03-01,30697.43,On Time,M-Pesa
RP0000292,LOAN008167,2024-07-16,14436.77,On Time,M-Pesa
RP0000293,LOAN004327,2024-07-02,18158.273165644652,On Time,M-Pesa
RP0000294,LOAN000595,2023-09-25,56634.24,On Time,M-Pesa
RP0000295,LOAN002132,2024-06-03,58264.36,Defaulted,M-Pesa
RP0000296,LOAN007064,2022-10-27,42589.04,On Time,M-Pesa
RP0000297,LOAN001926,2026-12-28,20265.59,On Time,M-Pesa
RP0000298,LOAN007213,2024-07-24,18099.73,On Time,M-Pesa
RP0000299,LOAN006781,2020-10-02,30922.0,On Time,M-Pesa
RP0000300,LOAN005778,2020-01-15,25459.54,On Time,M-Pesa
RP0000301,LOAN005776,2024-11-04,1898.85,On Time,M-Pesa
RP0000302,LOAN004712,2022-06-08,27763.79,On Time,M-Pesa
RP0000303,LOAN002088,2024-11-28,34205.46,Late,M-Pesa
RP0000304,LOAN001640,2024-01-14,18572.06,On Time,M-Pesa
RP0000305,LOAN003432,2021-02-14,13106.24,On Time,M-Pesa
RP0000306,LOAN000710,2023-09-25,38271.92,On Time,M-Pesa
RP0000307,LOAN007137,2025-10-26,2195.81,On Time,M-Pesa
RP0000308,LOAN006384,2019-12-31,22813.4,On Time,M-Pesa
RP0000309,LOAN003469,2024-09-18,11786.35,On Time,M-Pesa
RP0000310,LOAN001988,2020-01-27,6881.81,On Time,M-Pesa
RP0000311,LOAN005600,2021-02-16,5420.05,On Time,M-Pesa
RP0000312,LOAN009863,2021-09-08,29606.07,On Time,M-Pesa
RP0000313,LOAN004615,2023-12-18,5306.42,On Time,M-Pesa
RP0000314,LOAN005072,2023-10-24,16632.16,On Time,M-Pesa
RP0000315,LOAN005745,2020-03-31,19540.88867400327,On Time,Bank Transfer
RP0000316,LOAN004683,2019-07-14,47481.28,On Time,M-Pesa
RP0000317,LOAN009778,2021-07-14,8329.28,Defaulted,M-Pesa
RP0000318,LOAN002935,2020-01-16,4128.49,On Time,M-Pesa
RP0000319,LOAN002649,2020-06-11,31215.16,On Time,Bank Transfer
RP0000320,LOAN003267,2024-08-23,5585.94,On Time,Bank Transfer
RP0000321,LOAN007648,2023-04-26,15893.73,On Time,M-Pesa
RP0000322,LOAN004126,2023-01-08,18771.52,On Time,M-Pesa
RP0000323,LOAN009182,2022-09-19,3917.09,On Time,M-Pesa
RP0000324,LOAN005187,2024-11-23,19030.19,Prepaid,M-Pesa
RP0000325,LOAN009516,2020-07-04,37736.75,Late,M-Pesa
RP0000326,LOAN001592,2023-05-15,18357.66,On Time,M-Pesa
RP0000327,LOAN000079,2019-04-11,13412.19,On Time,Cash
RP0000328,LOAN005052,2025-04-07,27271.94,On Time,Bank Transfer
RP0000329,LOAN003857,2023-11-12,34234.19,On Time,M-Pesa
RP0000330,LOAN006159,2024-11-22,7862.54,On Time,M-Pesa
RP0000331,LOAN001717,2025-07-11,19294.07,On Time,M-Pesa
RP0000332,LOAN007219,2023-08-09,2572.49,On Time,M-Pesa
RP0000333,LOAN003193,2021-12-24,1134.48,Late,M-Pesa
RP0000334,LOAN002854,2023-01-11,34490.3,On Time,M-Pesa
RP0000335,LOAN005099,2022-03-15,26191.59,On Time,M-Pesa
RP0000336,LOAN002941,2025-09-06,22593.77,On Time,M-Pesa
RP0000337,LOAN000860,2020-04-25,13410.7,On Time,M-Pesa
RP0000338,LOAN009502,2021-07-30,77100.89,On Time,M-Pesa
RP0000339,LOAN003127,2022-06-17,36364.04,On Time,Cash
RP0000340,LOAN004745,2023-07-28,6068.57,Late,M-Pesa
RP0000341,LOAN003068,2025-04-11,2391.69,On Time,M-Pesa
RP0000342,LOAN006928,2024-12-21,13689.66,On Time,M-Pesa
RP0000343,LOAN004310,2024-02-16,5206.88,Late,M-Pesa
RP0000344,LOAN006206,2020-05-16,13143.5,On Time,M-Pesa
RP0000345,LOAN004395,2023-12-21,27886.22,On Time,M-Pesa
RP0000346,LOAN004746,2023-04-29,8141.94,On Time,M-Pesa
RP0000347,LOAN006471,2023-10-22,7515.49,On Time,Cash
RP0000348,LOAN006475,2024-08-04,8540.8,On Time,M-Pesa
RP0000349,LOAN001330,2021-06-24,20456.3,Defaulted,M-Pesa
RP0000350,LOAN007209,2021-12-06,2041.7,On Time,M-Pesa
RP0000351,LOAN004156,2022-09-17,15765.86,Defaulted,M-Pesa
RP0000352,LOAN001702,2022-04-14,30251.37,On Time,M-Pesa
RP0000353,LOAN004288,2023-03-21,29830.35,On Time,M-Pesa
RP0000354,LOAN002400,2022-01-29,13918.03,On Time,M-Pesa
RP0000355,LOAN004708,2019-11-12,31014.12,On Time,M-Pesa
RP0000356,LOAN008114,2019-10-17,27367.05,On Time,M-Pesa
RP0000357,LOAN006714,2024-07-01,8983.45,On Time,M-Pesa
RP0000358,LOAN001469,2021-02-05,13041.26,On Time,M-Pesa
RP0000359,LOAN002129,2019-11-18,83544.89,On Time,M-Pesa
RP0000360,LOAN005838,2022-05-03,8035.89,On Time,M-Pesa
RP0000361,LOAN006616,2020-12-14,46371.89,On Time,M-Pesa
RP0000362,LOAN006907,2021-07-18,40495.78,On Time,M-Pesa
RP0000363,LOAN000429,2023-03-22,7671.14,Defaulted,M-Pesa
RP0000364,LOAN008562,2022-10-15,17263.37,On Time,M-Pesa
RP0000365,LOAN000361,2021-04-29,57726.31,On Time,M-Pesa
RP0000366,LOAN003152,2022-05-02,23338.52,On Time,Cash
RP0000367,LOAN001554,2024-12-05,37546.46,On Time,M-Pesa
RP0000368,LOAN007911,2022-06-03,84724.45,On Time,M-Pesa
RP0000369,LOAN006322,2023-03-24,8070.47,Prepaid,M-Pesa
RP0000370,LOAN004750,2025-03-12,4146.98,On Time,M-Pesa
RP0000371,LOAN004746,2023-12-25,8141.94,On Time,M-Pesa
RP0000372,LOAN008138,2021-05-01,16809.53,On Time,M-Pesa
RP0000373,LOAN002438,2022-08-23,2417.36,On Time,M-Pesa
RP0000374,LOAN000771,2028-08-07,7330.67,Late,Bank Transfer
RP0000375,LOAN005745,2020-08-28,13720.87,On Time,M-Pesa
RP0000376,LOAN003670,2021-10-03,14280.99,On Time,M-Pesa
RP0000377,LOAN004482,2023-09-05,12406.46,On Time,M-Pesa
RP0000378,LOAN008057,2022-09-16,9291.73,Prepaid,M-Pesa
RP0000379,LOAN008065,2025-07-15,32941.9,On Time,M-Pesa
RP0000380,LOAN005221,2021-02-09,5649.32,On Time,M-Pesa
RP0000381,LOAN000141,2024-11-07,1925.35,On Time,Cash
RP0000382,LOAN008736,2022-01-05,14324.12,On Time,M-Pesa
RP0000383,LOAN006643,2019-04-08,34509.79,On Time,M-Pesa
RP0000384,LOAN009638,2019-08-30,5236.3,On Time,M-Pesa
RP0000385,LOAN005989,2020-02-25,24719.53,On Time,M-Pesa
RP0000386,LOAN000914,2022-10-31,6007.14,On Time,M-Pesa
