CustomerID,Age,Gender,MonthlyIncome,EmploymentStatus,Location
CUST00050,37,Male,45417,Employed,Rural
CUST00051,45,Male,38832,Self-employed,Rural
CUST00052,64,Male,64385,Employed,Urban
CUST00053,24,Male,30983,Employed,Urban
CUST00054,61,Female,49990,Employed,Rural
CUST00055,25,Female,69337,Employed,Rural
CUST00056,64,Male,105131,Self-employed,Urban
CUST00057,52,Male,21358,Unemployed,Rural
CUST00058,31,Male,75614,Employed,Urban
CUST00059,34,Male,44603,Employed,Rural
CUST00060,53,Female,66771,Unemployed,Urban
CUST00061,57,Male,13603,Self-employed,Urban
CUST00062,21,Male,66246,Self-employed,Rural
CUST00063,19,Male,17216,Employed,Urban
CUST00064,23,Male,91209,Employed,Urban
CUST00065,59,Female,10219,Employed,Urban
CUST00066,21,Female,29720,Employed,Urban
CUST00067,46,Female,40577,Self-employed,Rural
CUST00068,35,Male,38222,Employed,Urban
CUST00069,43,Male,29552,Employed,Urban
CUST00070,61,Male,49734,Unemployed,Urban
CUST00071,51,Female,61301,Employed,Urban
CUST00072,27,Male,59515,Unemployed,Urban
CUST00073,53,Male,891,Employed,Rural
CUST00074,31,Female,71972,Employed,Urban
CUST00075,48,Female,17689,Employed,Rural
CUST00076,65,Male,35085,Employed,Urban
CUST00077,32,Male,41667,Employed,Urban
CUST00078,25,Male,40932,Employed,Urban
CUST00079,31,Female,24192,Employed,Urban
CUST00080,40,Male,116128,Self-employed,Rural
CUST00081,57,Female,42836,Employed,Urban
CUST00082,38,Male,44837,Employed,Urban
CUST00083,33,Female,38724,Employed,Rural
CUST00084,62,Female,72778,Employed,Urban
CUST00085,35,Male,93130,Employed,Urban
CUST00086,64,Female,66708,Employed,Rural
CUST00087,41,Male,124232,Employed,Urban
CUST00088,43,Female,157266,Employed,Rural
CUST00089,42,Female,89412,Employed,Urban
CUST00090,62,Male,24782,Unemployed,Urban
CUST00091,58,Female,76315,Employed,Urban
CUST00092,46,Female,30052,Employed,Urban
CUST00093,32,Male,69521,Unemployed,Urban
CUST00094,62,Male,53898,Unemployed,Urban
CUST00095,18,Female,67219,Self-employed,Rural
CUST00096,42,Female,24154,Employed,Rural
CUST00097,24,Male,85546,Self-employed,Urban
CUST00098,26,Male,179345,Self-employed,Urban
CUST00099,41,Male,45972,Self-employed,Urban
CUST00100,18,Male,26409,Employed,Rural
CUST00101,61,Male,62523,Employed,Urban
CUST00102,25,Female,164385,Unemployed,Urban
CUST00103,41,Male,4313,Employed,Urban
CUST00104,28,Female,7608,Employed,Rural
CUST00105,34,Male,13717,Employed,Urban
CUST00106,25,Male,11864,Employed,Urban
CUST00107,52,Male,178412,Employed,Urban
CUST00108,52,Male,68055,Employed,Rural
CUST00109,50,Female,83684,Unemployed,Rural
CUST00110,22,Female,41972,Employed,Rural
CUST00111,59,Female,75493,Employed,Rural
CUST00112,56,Female,29325,Self-employed,Urban
CUST00113,58,Female,42880,Employed,Urban
CUST00114,45,Male,38220,Employed,Rural
CUST00115,24,Female,38522,Employed,Urban
CUST00116,26,Female,24007,Employed,Urban
CUST00117,25,Male,38289,Employed,Rural
CUST00118,29,Female,3485,Self-employed,Rural
CUST00119,51,Male,41181,Unemployed,Rural
CUST00120,50,Male,60961,Self-employed,Rural
CUST00121,65,Female,17705,Employed,Urban
CUST00122,40,Male,144676,Employed,Rural
CUST00123,41,Male,3354,Employed,Urban
CUST00124,54,Female,76104,Employed,Rural
CUST00125,52,Female,63509,Employed,Urban
CUST00126,61,Male,107101,Self-employed,Urban
CUST00127,57,Female,54743,Employed,Rural
CUST00128,39,Male,28951,Employed,Urban
CUST00129,44,Male,27014,Employed,Urban
CUST00130,52,Female,23412,Employed,Urban
CUST00131,18,Female,44209,Self-employed,Urban
CUST00132,52,Male,17741,Unemployed,Urban
CUST00133,54,Female,91908,Employed,Urban
CUST00134,64,Female,30271,Employed,Urban
CUST00135,31,Male,58219,Unemployed,Urban
CUST00136,20,Male,107163,Self-employed,Rural
CUST00137,18,Male,52470,Unemployed,Urban
CUST00138,22,Female,93498,Employed,Urban
CUST00139,43,Female,66543,Employed,Rural
CUST00140,31,Female,39276,Employed,Urban
CUST00141,56,Female,41710,Employed,Urban
CUST00142,44,Female,136881,Self-employed,Rural
CUST00143,26,Male,178950,Employed,Rural
CUST00144,32,Male,57749,Employed,Rural
CUST00145,32,Male,44182,Employed,Rural
CUST00146,43,Male,61914,Self-employed,Urban
CUST00147,59,Female,15007,Employed,Rural
CUST00148,30,Female,31923,Employed,Rural
CUST00149,49,Male,47047,Self-employed,Rural
CUST00150,56,Male,41383,Employed,Urban
CUST00151,49,Female,33042,Employed,Rural
CUST00152,21,Male,37954,Employed,Urban
CUST00153,47,Male,45412,Self-employed,Rural
CUST00154,54,Male,33181,Self-employed,Urban
CUST00155,40,Male,94898,Self-employed,Rural
CUST00156,56,Female,53405,Unemployed,Urban
CUST00157,62,Male,30862,Unemployed,Urban
CUST00158,32,Male,41911,Self-employed,Rural
CUST00159,60,Male,78688,Employed,Urban
CUST00160,46,Female,35249,Self-employed,Urban
CUST00161,53,Male,32939,Employed,Urban
CUST00162,30,Male,96735,Unemployed,Rural
CUST00163,49,Male,194467,Self-employed,Urban
CUST00164,24,Male,5848,Employed,Urban
CUST00165,39,Male,26817,Employed,Urban
CUST00166,45,Female,38011,Employed,Rural
CUST00167,19,Male,26143,Employed,Urban
CUST00168,59,Male,34509,Employed,Urban
CUST00169,62,Female,30058,Employed,Urban
CUST00170,23,Male,28396,Employed,Urban
CUST00171,45,Male,122942,Self-employed,Rural
CUST00172,45,Male,94539,Employed,Rural
CUST00173,61,Female,55272,Employed,Urban
CUST00174,61,Male,94134,Employed,Urban
CUST00175,37,Female,44265,Self-employed,Urban
CUST00176,47,Female,98192,Employed,Rural
CUST00177,28,Male,48668,Employed,Urban
CUST00178,45,Female,33428,Employed,Rural
CUST00179,42,Male,66024,Employed,Urban
CUST00180,56,Male,81899,Employed,Urban
CUST00181,50,Female,53747,Employed,Urban
CUST00182,18,Female,29297,Employed,Rural
CUST00183,44,Female,164005,Self-employed,Rural
CUST00184,30,Male,158434,Self-employed,Urban
CUST00185,58,Male,21607,Employed,Urban
CUST00186,20,Female,16450,Self-employed,Urban
CUST00187,56,Male,35535,Employed,Rural
CUST00188,23,Male,194891,Employed,Urban
CUST00189,25,Male,27645,Employed,Urban
CUST00190,44,Male,29470,Employed,Urban
CUST00191,26,Female,24158,Employed,Rural
CUST00192,54,Male,29005,Self-employed,Urban
CUST00193,50,Female,66786,Self-employed,Urban
CUST00194,59,Male,27925,Employed,Urban
CUST00195,61,Female,196447,Employed,Rural
CUST00196,41,Male,76578,Employed,Urban
CUST00197,32,Male,96408,Employed,Urban
CUST00198,49,Male,24166,Employed,Urban
CUST00199,49,Male,19309,Unemployed,Urban
CUST00200,41,Male,35076,Employed,Urban
CUST00201,58,Female,39377,Self-employed,Rural
CUST00202,29,Female,29278,Employed,Urban
CUST00203,56,Male,164808,Self-employed,Urban
CUST00204,19,Male,48916,Self-employed,Urban
CUST00205,20,Male,47142,Self-employed,Urban
CUST00206,54,Male,49064,Unemployed,Urban
CUST00207,34,Female,20771,Employed,Rural
CUST00208,19,Female,111440,Employed,Urban
CUST00209,19,Male,43755,Self-employed,Rural
CUST00210,45,Male,46245,Employed,Urban
CUST00211,40,Male,72097,Self-employed,Urban
CUST00212,54,Female,28167,Employed,Urban
CUST00213,49,Male,21556,Employed,Urban
CUST00214,50,Female,31150,Employed,Urban
CUST00215,18,Female,21151,Self-employed,Urban
CUST00216,36,Male,41698,Unemployed,Urban
CUST00217,19,Female,17601,Employed,Urban
CUST00218,61,Male,76807,Employed,Urban
CUST00219,43,Female,32534,Self-employed,Urban
CUST00220,49,Male,70328,Self-employed,Rural
CUST00221,23,Male,58039,Employed,Urban
CUST00222,49,Female,38426,Self-employed,Urban
CUST00223,21,Female,34659,Employed,Urban
CUST00224,28,Female,26303,Employed,Rural
CUST00225,34,Male,69053,Employed,Urban
CUST00226,55,Female,81644,Self-employed,Rural
CUST00227,41,Male,85745,Self-employed,Urban
CUST00228,22,Female,12541,Self-employed,Urban
CUST00229,51,Male,186298,Self-employed,Urban
CUST00230,23,Female,422,Employed,Rural
CUST00231,39,Female,46597,Self-employed,Rural
CUST00232,28,Female,31985,Employed,Rural
CUST00233,65,Male,16474,Self-employed,Urban
CUST00234,33,Male,23372,Employed,Rural
CUST00235,50,Female,66083,Self-employed,Urban
CUST00236,26,Male,84710,Self-employed,Rural
CUST00237,23,Female,75816,Self-employed,Urban
CUST00238,33,Male,29950,Self-employed,Rural
CUST00239,46,Male,99050,Employed,Rural
CUST00240,20,Female,16481,Self-employed,Urban
CUST00241,37,Female,21479,Employed,Urban
CUST00242,53,Male,24626,Unemployed,Urban
CUST00243,36,Male,46408,Self-employed,Urban
CUST00244,43,Male,30777,Employed,Urban
CUST00245,20,Female,25147,Self-employed,Rural
CUST00246,36,Male,40031,Employed,Urban
CUST00247,37,Female,105443,Unemployed,Urban
CUST00248,49,Female,20079,Self-employed,Urban
CUST00249,24,Male,196818,Employed,Urban
CUST00250,58,Female,88345,Employed,Urban
CUST00251,50,Male,32901,Employed,Urban
CUST00252,57,Male,52223,Self-employed,Urban
CUST00253,56,Female,22569,Self-employed,Urban
CUST00254,35,Male,92732,Employed,Rural
CUST00255,57,Male,33768,Self-employed,Urban
CUST00256,18,Male,117507,Employed,Rural
CUST00257,28,Male,66249,Employed,Rural
CUST00258,45,Male,85391,Employed,Urban
CUST00259,42,Female,84171,Employed,Urban
CUST00260,40,Female,38962,Employed,Urban
CUST00261,48,Female,36715,Employed,Rural
CUST00262,47,Male,27485,Employed,Urban
CUST00263,59,Male,49324,Self-employed,Rural
CUST00264,52,Male,31800,Employed,Urban
CUST00265,24,Male,99891,Employed,Urban
CUST00266,33,Male,49784,Employed,Urban
CUST00267,43,Male,190153,Employed,Urban
CUST00268,65,Male,87748,Employed,Urban
CUST00269,19,Male,23878,Employed,Urban
CUST00270,18,Female,101949,Self-employed,Rural
CUST00271,65,Female,39844,Self-employed,Rural
CUST00272,29,Female,70881,Employed,Urban
CUST00273,22,Female,38538,Employed,Urban
CUST00274,54,Female,41614,Employed,Urban
CUST00275,49,Male,43828,Employed,Rural
CUST00276,26,Male,37621,Self-employed,Urban
CUST00277,58,Female,29958,Self-employed,Urban
CUST00278,52,Female,46417,Self-employed,Urban
CUST00279,36,Female,28697,Employed,Urban
CUST00280,65,Female,187160,Unemployed,Rural
CUST00281,33,Male,35493,Employed,Rural
CUST00282,20,Female,30033,Employed,Urban
CUST00283,37,Female,71199,Employed,Rural
CUST00284,41,Male,92354,Self-employed,Rural
CUST00285,50,Female,165792,Self-employed,Urban
CUST00286,41,Male,21720,Employed,Rural
CUST00287,28,Female,33241,Employed,Urban
CUST00288,25,Female,36234,Self-employed,Urban
CUST00289,53,Male,43731,Unemployed,Urban
CUST00290,55,Female,57076,Employed,Rural
CUST00291,57,Male,21071,Self-employed,Urban
CUST00292,37,Female,199926,Employed,Rural
CUST00293,52,Male,49568,Self-employed,Urban
CUST00294,65,Female,167602,Employed,Urban
CUST00295,42,Male,8642,Employed,Rural
CUST00296,52,Female,83665,Self-employed,Rural
CUST00297,42,Male,154327,Unemployed,Urban
CUST00298,46,Female,194948,Employed,Urban
CUST00299,35,Female,8273,Employed,Urban
CUST00300,63,Female,45312,Employed,Urban
CUST00301,35,Female,88549,Employed,Rural
CUST00302,19,Female,13622,Self-employed,Urban
CUST00303,52,Male,13284,Employed,Urban
CUST00304,33,Male,30399,Self-employed,Urban
CUST00305,58,Male,41819,Employed,Urban
CUST00306,53,Female,48524,Unemployed,Urban
CUST00307,50,Female,9883,Employed,Urban
CUST00308,21,Male,29371,Employed,Rural
CUST00309,50,Female,39319,Employed,Rural
CUST00310,31,Female,42217,Self-employed,Urban
CUST00311,38,Female,30707,Employed,Urban
CUST00312,65,Male,28088,Employed,Urban
CUST00313,37,Male,113140,Self-employed,Rural
CUST00314,25,Male,111093,Self-employed,Urban
CUST00315,24,Female,182036,Self-employed,Urban
CUST00316,20,Male,88553,Employed,Rural
CUST00317,34,Male,26507,Employed,Urban
CUST00318,50,Female,82586,Self-employed,Urban
CUST00319,65,Female,46230,Employed,Urban
CUST00320,29,Female,55830,Employed,Urban
CUST00321,39,Male,24561,Employed,Urban
CUST00322,39,Male,97287,Unemployed,Rural
CUST00323,63,Female,44511,Employed,Urban
CUST00324,47,Male,659,Self-employed,Urban
CUST00325,55,Male,68506,Employed,Urban
CUST00326,55,Male,11535,Self-employed,Rural
CUST00327,62,Male,34002,Self-employed,Rural
CUST00328,25,Male,17970,Employed,Urban
CUST00329,44,Male,24682,Employed,Urban
CUST00330,44,Male,15702,Self-employed,Urban
CUST00331,51,Male,176475,Employed,Urban
CUST00332,38,Female,28826,Self-employed,Urban
CUST00333,47,Male,43371,Self-employed,Urban
CUST00334,50,Female,49946,Employed,Rural
CUST00335,45,Male,74359,Employed,Urban
CUST00336,64,Male,69266,Employed,Urban
CUST00337,50,Female,88017,Self-employed,Urban
CUST00338,22,Male,69195,Employed,Urban
CUST00339,65,Male,127315,Unemployed,Urban
CUST00340,36,Male,68268,Unemployed,Urban
CUST00341,21,Female,59710,Employed,Urban
CUST00342,52,Male,28813,Employed,Rural
CUST00343,34,Male,95537,Employed,Rural
CUST00344,61,Female,49651,Unemployed,Urban
CUST00345,45,Male,64161,Employed,Urban
CUST00346,47,Male,81821,Employed,Urban
CUST00347,46,Male,59729,Self-employed,Urban
CUST00348,63,Female,98448,Employed,Urban
CUST00349,23,Male,16147,Employed,Rural
CUST00350,52,Male,10262,Employed,Urban
CUST00351,58,Male,49477,Self-employed,Rural
CUST00352,54,Female,155467,Employed,Urban
CUST00353,41,Male,85133,Employed,Rural
CUST00354,46,Female,63195,Self-employed,Urban
CUST00355,63,Male,93805,Employed,Rural
CUST00356,48,Female,93998,Self-employed,Urban
CUST00357,52,Female,117238,Employed,Rural
CUST00358,50,Male,65552,Employed,Urban
CUST00359,38,Male,52728,Employed,Urban
CUST00360,49,Male,98245,Employed,Urban
CUST00361,40,Male,43557,Employed,Urban
CUST00362,50,Female,54938,Employed,Urban
CUST00363,20,Male,20131,Employed,Urban
CUST00364,35,Male,45692,Employed,Urban
CUST00365,42,Male,69977,Employed,Urban
CUST00366,59,Female,45436,Employed,Urban
CUST00367,48,Male,198597,Employed,Rural
CUST00368,20,Male,47264,Self-employed,Rural
CUST00369,57,Male,45575,Employed,Urban
CUST00370,63,Female,34727,Employed,Urban
CUST00371,41,Female,30488,Self-employed,Rural
CUST00372,49,Male,40069,Employed,Rural
CUST00373,64,Male,44400,Employed,Urban
CUST00374,39,Male,44146,Employed,Rural
CUST00375,40,Male,26846,Unemployed,Urban
CUST00376,19,Female,27584,Employed,Rural
CUST00377,44,Female,73694,Self-employed,Urban
CUST00378,59,Male,16670,Self-employed,Urban
CUST00379,19,Female,80996,Employed,Urban
CUST00380,43,Male,82125,Self-employed,Urban
CUST00381,34,Female,28641,Employed,Urban
CUST00382,57,Female,159682,Employed,Rural
CUST00383,50,Male,94200,Employed,Urban
CUST00384,26,Female,72970,Self-employed,Urban
CUST00385,60,Male,30895,Employed,Urban
CUST00386,65,Male,88071,Employed,Urban
CUST00387,56,Male,72258,Self-employed,Rural
CUST00388,46,Male,43354,Self-employed,Rural
CUST00389,59,Female,44532,Unemployed,Urban
CUST00390,43,Female,49147,Employed,Urban
CUST00391,52,Female,58444,Employed,Urban
CUST00392,42,Female,29611,Employed,Rural
CUST00393,41,Female,60528,Self-employed,Urban
CUST00394,30,Male,37619,Employed,Urban
CUST00395,24,Male,50999,Unemployed,Urban
CUST00396,53,Male,23760,Employed,Rural
CUST00397,62,Female,24116,Self-employed,Urban
CUST00398,37,Female,24411,Self-employed,Urban
CUST00399,18,Male,10362,Self-employed,Urban
CUST00400,25,Female,11113,Employed,Urban
CUST00401,63,Female,49631,Employed,Urban
CUST00402,33,Male,23683,Employed,Urban
CUST00403,31,Male,151413,Employed,Urban
CUST00404,29,Male,76521,Employed,Rural
CUST00405,40,Male,49510,Self-employed,Urban
CUST00406,32,Male,14982,Employed,Urban
CUST00407,45,Male,49639,Unemployed,Rural
CUST00408,51,Male,84621,Employed,Rural
CUST00409,19,Male,45175,Employed,Rural
CUST00410,49,Female,33079,Employed,Rural
CUST00411,40,Male,48711,Self-employed,Urban
CUST00412,39,Female,56895,Employed,Urban
CUST00413,42,Male,47979,Self-employed,Urban
CUST00414,39,Male,95703,Employed,Rural
CUST00415,39,Female,48853,Unemployed,Urban
CUST00416,59,Male,32552,Employed,Urban
CUST00417,23,Male,47394,Employed,Urban
CUST00418,32,Female,36053,Self-employed,Rural
CUST00419,60,Male,862,Self-employed,Rural
CUST00420,54,Male,24527,Employed,Rural
CUST00421,50,Male,32247,Self-employed,Urban
CUST00422,25,Male,37603,Employed,Urban
CUST00423,61,Male,23795,Self-employed,Urban
CUST00424,61,Male,145564,Employed,Urban
CUST00425,22,Female,32734,Employed,Urban
CUST00426,56,Female,50527,Employed,Urban
CUST00427,21,Female,43753,Self-employed,Urban
CUST00428,23,Female,22922,Unemployed,Rural
CUST00429,62,Female,5849,Employed,Urban
CUST00430,49,Male,47780,Self-employed,Rural
CUST00431,47,Female,37546,Employed,Urban
CUST00432,64,Female,32956,Self-employed,Urban
CUST00433,52,Female,78140,Employed,Urban
CUST00434,57,Male,37230,Employed,Urban
CUST00435,33,Male,46693,Employed,Urban
CUST00436,30,Male,26959,Employed,Urban
CUST00437,59,Female,23086,Employed,Rural
CUST00438,47,Male,92730,Self-employed,Rural
CUST00439,36,Female,39667,Employed,Urban
CUST00440,34,Male,46401,Unemployed,Rural
CUST00441,36,Male,35419,Self-employed,Urban
CUST00442,45,Male,23323,Employed,Rural
CUST00443,43,Male,50445,Employed,Urban
CUST00444,54,Male,67409,Self-employed,Rural
CUST00445,43,Male,9963,Unemployed,Rural
CUST00446,40,Female,17743,Unemployed,Rural
CUST00447,26,Male,65437,Self-employed,Urban
CUST00448,29,Male,36855,Employed,Urban
CUST00449,18,Female,16411,Self-employed,Urban
CUST00450,18,Female,60847,Employed,Urban
CUST00451,64,Female,23236,Employed,Urban
CUST00452,51,Male,49129,Self-employed,Rural
CUST00453,49,Female,45520,Self-employed,Urban
CUST00454,65,Female,63487,Unemployed,Urban
CUST00455,42,Male,31848,Employed,Urban
CUST00456,57,Male,162423,Self-employed,Urban
CUST00457,62,Male,63155,Self-employed,Urban
CUST00458,18,Male,31255,Self-employed,Urban
CUST00459,33,Female,42556,Employed,Urban
CUST00460,56,Male,21979,Self-employed,Rural
CUST00461,22,Female,47292,Employed,Urban
CUST00462,39,Male,71305,Self-employed,Rural
CUST00463,46,Male,29007,Self-employed,Rural
CUST00464,20,Male,2326,Self-employed,Urban
CUST00465,29,Male,85098,Employed,Rural
CUST00466,43,Female,1002,Employed,Urban
CUST00467,33,Female,59734,Employed,Urban
CUST00468,54,Male,56448,Employed,Urban
CUST00469,39,Male,26837,Unemployed,Urban
CUST00470,46,Male,32396,Employed,Rural
CUST00471,31,Female,77881,Employed,Urban
CUST00472,45,Male,81177,Self-employed,Urban
CUST00473,22,Male,27354,Employed,Urban
CUST00474,64,Female,34251,Self-employed,Urban
CUST00475,47,Female,22529,Employed,Rural
CUST00476,63,Male,13209,Employed,Urban
CUST00477,22,Male,17814,Unemployed,Urban
CUST00478,29,Female,23912,Employed,Urban
CUST00479,33,Female,37916,Employed,Urban
CUST00480,43,Male,38276,Employed,Urban
CUST00481,43,Female,196775,Employed,Urban
CUST00482,65,Female,94084,Self-employed,Urban
CUST00483,38,Male,1421,Self-employed,Rural
CUST00484,56,Male,33510,Employed,Urban
CUST00485,53,Male,44966,Self-employed,Rural
CUST00486,50,Female,42152,Self-employed,Rural
CUST00487,47,Male,184738,Self-employed,Rural
CUST00488,54,Female,46445,Employed,Urban
CUST00489,40,Female,176688,Self-employed,Rural
CUST00490,27,Male,25617,Employed,Rural
CUST00491,22,Female,51195,Self-employed,Rural
CUST00492,53,Female,26229,Unemployed,Urban
CUST00493,51,Male,47181,Employed,Urban
CUST00494,48,Male,45433,Employed,Rural
CUST00495,27,Male,55305,Employed,Urban
CUST00496,36,Female,58077,Employed,Urban
CUST00497,49,Female,98648,Employed,Urban
CUST00498,18,Male,81385,Self-employed,Rural
CUST00499,22,Female,92113,Employed,Urban
CUST00500,62,Male,37226,Employed,Rural
CUST00501,21,Male,25200,Employed,Urban
CUST00502,33,Male,92642,Employed,Urban
CUST00503,41,Male,83062,Employed,Urban
CUST00504,33,Male,56097,Self-employed,Urban
CUST00505,19,Male,26412,Employed,Urban
CUST00506,45,Male,8836,Unemployed,Urban
CUST00507,49,Female,106678,Employed,Urban
CUST00508,44,Male,35735,Unemployed,Urban
CUST00509,37,Male,46711,Employed,Urban
CUST00510,41,Male,71404,Self-employed,Urban
CUST00511,29,Female,171279,Self-employed,Urban
CUST00512,52,Male,36494,Self-employed,Urban
CUST00513,50,Male,91543,Self-employed,Urban
CUST00514,50,Female,144185,Unemployed,Rural
CUST00515,60,Male,109678,Self-employed,Urban
CUST00516,54,Male,137632,Self-employed,Urban
CUST00517,29,Female,33467,Self-employed,Urban
CUST00518,20,Male,21648,Self-employed,Urban
CUST00519,18,Male,15677,Employed,Urban
CUST00520,50,Male,15918,Employed,Urban
CUST00521,57,Male,42765,Self-employed,Urban
CUST00522,27,Male,22381,Employed,Urban
CUST00523,60,Male,36489,Self-employed,Urban
CUST00524,61,Male,31745,Employed,Urban
CUST00525,46,Male,25818,Employed,Urban
CUST00526,30,Female,92654,Self-employed,Urban
CUST00527,29,Male,46309,Employed,Rural
CUST00528,48,Male,20381,Employed,Urban
CUST00529,63,Female,47312,Employed,Rural
CUST00530,19,Female,4356,Employed,Urban
CUST00531,52,Male,101316,Self-employed,Rural
CUST00532,40,Female,25454,Employed,Urban
CUST00533,34,Male,47278,Self-employed,Urban
CUST00534,43,Male,33107,Employed,Urban
CUST00535,25,Female,24074,Unemployed,Urban
CUST00536,46,Male,14811,Employed,Rural
CUST00537,43,Male,37290,Employed,Urban
CUST00538,27,Male,27621,Employed,Urban
CUST00539,43,Male,99814,Employed,Urban
CUST00540,51,Male,73102,Employed,Urban
CUST00541,58,Female,36126,Self-employed,Urban
CUST00542,24,Male,28654,Employed,Urban
CUST00543,21,Female,47478,Employed,Urban
CUST00544,62,Male,32872,Employed,Urban
CUST00545,28,Female,17326,Self-employed,Rural
CUST00546,46,Female,97719,Employed,Rural
CUST00547,53,Female,8349,Employed,Urban
CUST00548,42,Male,69693,Employed,Urban
CUST00549,38,Male,37710,Self-employed,Urban
CUST00550,53,Male,198163,Self-employed,Urban
CUST00551,27,Female,93677,Employed,Rural
CUST00552,54,Female,60760,Employed,Urban
CUST00553,26,Male,31584,Employed,Urban
CUST00554,41,Male,52106,Self-employed,Urban
CUST00555,52,Male,63669,Employed,Rural
CUST00556,52,Female,75223,Self-employed,Rural
CUST00557,65,Male,47898,Employed,Rural
CUST00558,53,Female,85706,Employed,Urban
CUST00559,35,Female,2483,Employed,Urban
CUST00560,56,Male,48817,Self-employed,Rural
CUST00561,49,Male,77482,Self-employed,Urban
CUST00562,41,Male,47601,Unemployed,Urban
CUST00563,40,Male,21375,Employed,Urban
CUST00564,49,Male,44240,Employed,Urban
CUST00565,54,Male,60015,Employed,Urban
CUST00566,29,Female,36628,Employed,Rural
CUST00567,30,Male,38732,Employed,Urban
CUST00568,40,Male,45443,Employed,Rural
CUST00569,42,Female,80819,Employed,Rural
CUST00570,52,Female,15060,Employed,Rural
CUST00571,58,Male,77437,Self-employed,Urban
CUST00572,47,Male,36863,Employed,Urban
CUST00573,34,Male,60654,Self-employed,Rural
CUST00574,37,Female,163652,Employed,Urban
CUST00575,65,Female,38319,Self-employed,Urban
CUST00576,42,Female,34253,Employed,Urban
CUST00577,39,Male,61565,Employed,Urban
CUST00578,30,Female,47597,Unemployed,Urban
CUST00579,36,Male,47768,Employed,Urban
CUST00580,53,Male,50087,Self-employed,Urban
CUST00581,29,Male,109432,Self-employed,Urban
CUST00582,58,Male,28764,Employed,Rural
CUST00583,36,Male,45389,Self-employed,Urban
CUST00584,29,Female,20178,Self-employed,Urban
CUST00585,26,Female,46301,Employed,Rural
CUST00586,24,Male,99314,Self-employed,Urban
CUST00587,45,Male,85408,Self-employed,Rural
CUST00588,31,Male,91965,Employed,Urban
CUST00589,48,Male,18732,Employed,Rural
CUST00590,36,Male,22421,Employed,Urban
CUST00591,64,Female,30947,Self-employed,Urban
CUST00592,33,Male,40682,Self-employed,Urban
CUST00593,22,Male,70526,Self-employed,Urban
CUST00594,52,Male,49134,Employed,Urban
CUST00595,29,Female,78317,Employed,Rural
CUST00596,42,Female,51217,Self-employed,Urban
CUST00597,38,Female,135242,Employed,Rural
CUST00598,53,Female,50929,Self-employed,Urban
CUST00599,40,Male,90726,Self-employed,Urban
CUST00600,33,Male,44892,Employed,Rural
CUST00601,56,Female,21502,Employed,Rural
CUST00602,62,Male,20420,Employed,Urban
CUST00603,59,Male,33580,Self-employed,Rural
CUST00604,56,Male,98608,Self-employed,Urban
CUST00605,31,Male,88598,Self-employed,Urban
CUST00606,48,Male,40742,Employed,Urban
CUST00607,22,Male,37833,Employed,Rural
CUST00608,52,Female,25811,Self-employed,Rural
CUST00609,40,Male,58619,Employed,Urban
CUST00610,46,Male,74255,Self-employed,Rural
CUST00611,60,Male,74972,Employed,Rural
